WASHINGTON           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2008                                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Money amounts are in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* indicates that the value in the cell has been suppressed to avoid disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Size of Adjusted Gross Income,Zip Code,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,Taxable Interest,Ordinary Dividends,Business or profession net income (less loss),Net capital gain (less loss) in AGI,Taxable Individual Retirement Arrangement distributions,Pensions and annuities in AGI,Unemployment compensation in AGI,Social Security benefits in AGI,Self-employment retirement plans,Total itemized deductions,State and Local Income taxes,State and local general sales taxes,Real estate taxes,Taxes paid,Mortgage Interest paid,Contributions,Taxable income,Total tax credits,Residential Energy Credit,Child tax credit,Child and dependent care credit,Earned income credit,Excess earned income credit (refundable),Alternative minimum tax,Income tax,Total tax liability,Tax due at time of filing,Overpayments refunded,
"$75,000 under $100,000",98006," 1,690 "," 1,120 ", 720 ," 4,029 ", 700 ," 147,466 "," 104,496 "," 4,710 "," 4,546 "," 5,774 ", 604 ," 7,086 "," 12,495 ", 458 ," 7,938 ", 258 ," 28,344 ", 346 ," 1,759 "," 4,636 "," 6,920 "," 14,951 "," 2,832 "," 99,491 "," 1,140 ", -   , 737 , 33 , -   , -   , -   ," 14,203 "," 15,226 ", 829 ," (4,885)",
"$100,000 under $200,000",98006," 3,915 "," 3,329 "," 1,664 "," 11,329 "," 2,163 "," 551,389 "," 421,915 "," 14,460 "," 17,591 "," 20,684 "," 5,505 "," 15,771 "," 28,953 "," 1,109 "," 13,769 "," 2,305 "," 97,952 "," 1,529 "," 7,725 "," 16,142 "," 26,088 "," 50,676 "," 11,910 "," 406,146 "," 1,792 ", -   , 982 , 154 , -   , -   , 355 ," 72,583 "," 76,024 "," 4,564 "," (15,607)",
"$200,000 or more",98006," 2,412 "," 2,235 "," 1,404 "," 7,855 "," 1,626 "," 1,291,855 "," 745,449 "," 38,361 "," 51,100 "," 42,146 "," 101,784 "," 11,351 "," 16,262 ", 334 ," 5,028 "," 6,493 "," 117,768 "," 5,818 "," 10,170 "," 18,703 "," 35,392 "," 49,738 "," 20,778 "," 1,149,118 "," 6,026 ", -   , -   , 149 , -   , -   ," 5,266 "," 298,731 "," 305,040 "," 22,626 "," (23,645)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98007," 12,199 "," 4,539 "," 4,870 "," 22,649 "," 3,613 "," 784,559 "," 634,438 "," 18,540 "," 16,241 "," 20,839 "," 23,799 "," 14,262 "," 24,891 "," 2,323 "," 13,080 "," 1,311 "," 79,763 "," 2,164 "," 4,880 "," 9,097 "," 16,588 "," 37,065 "," 9,994 "," 577,554 "," 3,950 ", -   ," 2,175 ", 186 ," 1,543 "," 1,308 ", 654 ," 104,469 "," 108,012 "," 6,837 "," (27,461)",
"Under $10,000",98007," 1,570 ", 150 , 515 ," 1,558 ", 193 ," 4,977 "," 7,671 "," 1,233 ", 598 , 333 , (52), 240 , 355 , 61 , -   , -   ," 2,561 ", 68 , 28 , 372 , 473 ," 1,202 ", 28 , 443 , 1 , -   , -   , -   , 344 , 289 , -   , 45 , 223 , 72 ," (1,112)",
"$10,000 under $25,000",98007," 2,147 ", 345 , 847 ," 3,469 ", 566 ," 38,182 "," 31,847 "," 1,115 ", 734 ," 1,930 ", (42), 943 ," 2,302 ", 364 , 148 , -   ," 4,038 ", 175 , 164 , 376 , 727 ," 1,680 ", 246 ," 12,745 ", 176 , -   , 53 , 10 , 927 , 806 , -   ," 1,221 "," 1,573 ", 179 ," (3,450)",
"$25,000 under $50,000",98007," 2,979 ", 744 ," 1,210 "," 5,442 ", 846 ," 108,536 "," 95,463 "," 1,685 "," 1,563 "," 3,629 ", 116 ," 1,768 "," 3,873 ", 772 ," 1,717 ", -   ," 10,896 ", 311 , 541 ," 1,198 "," 2,154 "," 4,991 ", 779 ," 63,050 ", 881 , -   , 524 , 33 , 271 , 213 , -   ," 7,284 "," 7,887 ", 607 ," (5,707)",
"$50,000 under $75,000",98007," 1,930 ", 850 , 835 ," 3,790 ", 587 ," 118,960 "," 99,992 "," 2,357 "," 1,960 "," 2,708 ", (9)," 2,393 "," 6,174 ", 446 ," 3,851 ", 108 ," 12,749 ", 262 , 646 ," 1,242 "," 2,218 "," 5,374 "," 1,184 "," 82,642 ", 882 , -   , 655 , 26 , -   , -   , -   ," 11,785 "," 12,371 ", 627 ," (4,670)",
"$75,000 under $100,000",98007," 1,480 ", 810 , 570 ," 3,066 ", 482 ," 129,015 "," 113,420 "," 2,370 "," 1,732 "," 1,860 ", 57 ," 2,675 "," 4,056 ", 311 ," 2,774 ", -   ," 11,544 ", 204 , 756 ," 1,262 "," 2,293 "," 5,788 "," 1,276 "," 98,727 ", 797 , -   , 563 , 26 , -   , -   , -   ," 15,834 "," 16,237 ", 596 ," (3,502)",
"$100,000 under $200,000",98007," 1,703 "," 1,297 ", 675 ," 4,167 ", 722 ," 225,738 "," 191,889 "," 4,408 "," 4,484 "," 5,971 "," 1,757 "," 4,752 "," 6,646 ", 291 ," 3,688 ", 407 ," 23,840 ", 502 ," 1,672 "," 2,705 "," 4,990 "," 11,820 "," 3,281 "," 179,161 ", 784 , -   , 380 , 74 , -   , -   , 53 ," 33,131 "," 33,998 "," 2,013 "," (4,751)",
"$200,000 or more",98007, 390 , 343 , 218 ," 1,157 ", 217 ," 159,152 "," 94,156 "," 5,373 "," 5,170 "," 4,409 "," 21,972 "," 1,490 "," 1,485 ", 78 , 903 , 796 ," 14,135 ", 641 ," 1,072 "," 1,941 "," 3,733 "," 6,211 "," 3,199 "," 140,787 ", 428 , -   , -   , 18 , -   , -   , 601 ," 35,170 "," 35,723 "," 2,743 "," (4,270)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98008," 11,994 "," 5,487 "," 5,075 "," 23,417 "," 3,739 "," 1,033,745 "," 761,397 "," 26,528 "," 33,122 "," 34,294 "," 36,115 "," 29,165 "," 50,290 "," 3,085 "," 26,089 "," 2,433 "," 152,456 "," 2,559 "," 10,941 "," 20,177 "," 34,646 "," 76,015 "," 18,993 "," 773,108 "," 4,633 ", -   ," 1,990 ", 243 ," 1,154 ", 942 ," 1,417 "," 153,551 "," 159,037 "," 12,244 "," (28,607)",
"Under $10,000",98008," 1,709 ", 175 , 600 ," 1,444 ", 159 ," 3,733 "," 8,328 "," 1,035 ", 876 , (155), (104), 371 , 512 , 97 , -   , -   ," 6,223 ", -   , 118 , 640 , 797 ," 2,597 ", 54 , 569 , 1 , -   , -   , -   , 243 , 200 , -   , 60 , 250 , 85 ," (1,060)",
"$10,000 under $25,000",98008," 1,672 ", 286 , 695 ," 2,385 ", 335 ," 28,786 "," 20,786 "," 1,168 "," 1,053 "," 1,978 ", (42)," 1,105 "," 2,878 ", 421 , 200 , 69 ," 5,894 ", 26 , 180 , 705 , 945 ," 2,303 ", 324 ," 9,171 ", 137 , -   , 37 , 6 , 701 , 598 , -   , 841 ," 1,204 ", 228 ," (2,217)",
"$25,000 under $50,000",98008," 2,262 ", 584 ," 1,009 "," 3,996 ", 579 ," 82,986 "," 64,266 "," 2,314 "," 1,943 "," 3,994 ", 99 ," 2,263 "," 6,044 ", 853 ," 2,779 ", -   ," 13,516 ", 130 , 604 ," 1,793 "," 2,603 "," 6,792 ", 876 ," 45,537 ", 596 , -   , 326 , 23 , 211 , 144 , -   ," 5,422 "," 6,141 ", 566 ," (3,829)",
"$50,000 under $75,000",98008," 1,636 ", 761 , 703 ," 3,174 ", 463 ," 101,486 "," 72,061 "," 2,975 "," 2,848 "," 3,600 ", 290 ," 4,070 "," 9,716 ", 522 ," 6,255 ", 141 ," 17,582 ", 185 ," 1,027 "," 2,259 "," 3,576 "," 7,943 "," 1,642 "," 65,676 ", 646 , -   , 450 , 20 , -   , -   , -   ," 9,062 "," 9,721 ", 700 ," (3,754)",
"$75,000 under $100,000",98008," 1,346 ", 841 , 564 ," 3,039 ", 490 ," 117,195 "," 87,175 "," 3,203 "," 3,000 "," 2,214 ", 352 ," 4,494 "," 10,239 ", 359 ," 5,928 ", 101 ," 18,771 ", 212 ," 1,236 "," 2,522 "," 4,073 "," 9,753 "," 1,892 "," 82,780 ", 839 , -   , 577 , 39 , -   , -   , -   ," 12,244 "," 12,740 ", 605 ," (3,489)",
"$100,000 under $200,000",98008," 2,470 "," 2,036 "," 1,007 "," 6,691 "," 1,191 "," 340,210 "," 271,328 "," 7,255 "," 8,700 "," 11,395 "," 3,324 "," 10,314 "," 15,833 ", 721 ," 8,663 ", 754 ," 53,315 ", 733 ," 4,342 "," 7,014 "," 12,474 "," 29,489 "," 6,410 "," 256,575 "," 1,068 ", -   , 600 , 106 , -   , -   , 123 ," 46,232 "," 47,946 "," 2,789 "," (8,513)",
"$200,000 or more",98008, 899 , 804 , 497 ," 2,688 ", 522 ," 359,349 "," 237,454 "," 8,577 "," 14,701 "," 11,269 "," 32,196 "," 6,550 "," 5,067 ", 112 ," 2,263 "," 1,368 "," 37,155 "," 1,273 "," 3,436 "," 5,244 "," 10,177 "," 17,137 "," 7,795 "," 312,801 "," 1,345 ", -   , -   , 50 , -   , -   ," 1,294 "," 79,691 "," 81,036 "," 7,272 "," (5,745)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98009, 926 , 309 , 481 ," 1,528 ", 198 ," 406,074 "," 73,540 "," 17,456 "," 42,040 "," 7,624 "," 273,012 "," 3,255 "," 3,253 ", 213 ," 2,378 ", 327 ," 54,893 ", 595 ," 1,762 "," 4,609 "," 7,247 "," 7,016 "," 13,178 "," 347,350 "," 1,131 ", -   , 58 , -   , 88 , 65 , 923 ," 82,880 "," 83,926 "," 4,160 "," (3,371)",
"Under $10,000",98009, 149 , 19 , 69 , 170 , 21 , (307)," 1,512 ", 202 , 177 , (296), (74), -   , 40 , -   , -   , -   ," 1,409 ", -   , 17 , 186 , 335 , 564 , -   , 26 , -   , -   , -   , -   , 27 , 19 , -   , 2 , 60 , 13 , (374),
"$10,000 under $25,000",98009, 116 , 12 , 50 , 149 , 20 ," 2,036 "," 1,225 ", 194 , 205 , 183 , (4), 91 , 155 , 74 , -   , -   , 657 , 12 , 15 , 83 , 122 , 302 , 53 , 700 , 7 , -   , -   , -   , 47 , 46 , -   , 66 , 98 , 20 , (163),
"$25,000 under $50,000",98009, 178 , 30 , 74 , 273 , 35 ," 6,562 "," 5,052 ", 140 , 339 , 581 , 18 , 217 , 337 , 61 , 153 , -   , 848 , -   , 28 , 148 , 187 , 352 , 55 ," 3,956 ", 34 , -   , 17 , -   , 14 , -   , -   , 472 , 582 , 107 , (288),
"$50,000 under $75,000",98009, 131 , 34 , 59 , 211 , 28 ," 8,106 "," 5,346 ", 356 , 343 , 320 , 164 , 340 , 525 , -   , 458 , -   ," 1,550 ", 19 , 84 , 252 , 355 , 592 , 91 ," 5,479 ", 28 , -   , 17 , -   , -   , -   , -   , 831 , 921 , 120 , (254),
"$75,000 under $100,000",98009, 88 , 38 , 44 , 152 , 20 ," 7,711 "," 4,945 ", 337 , 427 , 119 , 229 , 198 , 414 , 78 , 362 , -   ," 1,702 ", -   , 92 , 272 , 383 , 716 , 168 ," 5,282 ", 26 , -   , 13 , -   , -   , -   , -   , 865 , 893 , 83 , (180),
"$100,000 under $200,000",98009, 140 , 82 , 82 , 284 , 38 ," 19,404 "," 11,530 "," 1,095 "," 1,409 "," 1,249 "," 1,016 ", 470 , 782 , -   , 690 , -   ," 4,937 ", 102 , 234 , 686 ," 1,050 "," 1,960 ", 509 ," 13,844 ", 34 , -   , 11 , -   , -   , -   , -   ," 2,577 "," 2,771 ", 240 , (506),
"$200,000 or more",98009, 124 , 94 , 103 , 289 , 36 ," 362,562 "," 43,930 "," 15,133 "," 39,140 "," 5,468 "," 271,664 "," 1,939 "," 1,000 ", -   , 714 , 327 ," 43,790 ", 463 ," 1,293 "," 2,982 "," 4,817 "," 2,532 "," 12,302 "," 318,062 "," 1,002 ", -   , -   , -   , -   , -   , 923 ," 78,066 "," 78,601 "," 3,576 "," (1,606)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98010," 2,496 "," 1,207 "," 1,165 "," 5,070 ", 869 ," 198,533 "," 149,495 "," 3,930 "," 2,188 "," 4,918 "," 7,475 "," 3,268 "," 11,065 ", 929 ," 3,369 ", 144 ," 35,408 ", 595 ," 2,442 "," 5,503 "," 8,847 "," 19,473 "," 2,906 "," 140,810 ", 836 , -   , 585 , 53 , 236 , 201 , 229 ," 26,287 "," 27,384 "," 2,430 "," (6,082)",
"Under $10,000",98010, 355 , 27 , 135 , 275 , 38 , 996 ," 2,577 ", 70 , 73 , (636), 271 , -   , 119 , -   , -   , -   , 983 , -   , 21 , 155 , 179 , 528 , -   , 129 , -   , -   , -   , -   , 57 , 47 , -   , 14 , 47 , 17 , (297),
"$10,000 under $25,000",98010, 363 , 47 , 138 , 471 , 57 ," 6,179 "," 4,515 ", 271 , 106 , 239 , 32 , 258 , 769 , 143 , 38 , -   , 898 , -   , 29 , 133 , 175 , 425 , 67 ," 2,176 ", 20 , -   , -   , -   , 120 , 111 , -   , 215 , 274 , 38 , (489),
"$25,000 under $50,000",98010, 491 , 154 , 237 , 877 , 139 ," 18,065 "," 13,943 ", 424 , 163 , 450 , 69 , 405 ," 2,026 ", 333 , 520 , -   ," 3,446 ", 35 , 149 , 552 , 745 ," 1,883 ", 268 ," 9,572 ", 125 , -   , 93 , 7 , 59 , 44 , -   ," 1,091 "," 1,241 ", 118 , (935),
"$50,000 under $75,000",98010, 360 , 184 , 180 , 774 , 138 ," 22,135 "," 17,968 ", 316 , 197 , 757 , 88 , 581 ," 1,473 ", 162 , 837 , -   ," 4,354 ", 50 , 234 , 678 , 981 ," 2,572 ", 286 ," 13,796 ", 206 , -   , 163 , 6 , -   , -   , -   ," 1,792 "," 1,956 ", 141 , (938),
"$75,000 under $100,000",98010, 303 , 229 , 142 , 806 , 147 ," 26,369 "," 22,779 ", 390 , 56 , 583 , (6), 581 ," 1,163 ", 140 , 596 , -   ," 5,460 ", 59 , 393 , 779 ," 1,266 "," 3,304 ", 362 ," 17,408 ", 238 , -   , 190 , 12 , -   , -   , -   ," 2,394 "," 2,535 ", 112 , (985),
"$100,000 under $200,000",98010, 476 , 430 , 237 ," 1,392 ", 256 ," 64,989 "," 52,248 "," 1,079 ", 636 ," 1,384 "," 1,188 "," 1,047 "," 4,100 ", 151 ," 1,097 ", 144 ," 12,781 ", 163 ," 1,048 "," 2,082 "," 3,354 "," 7,091 "," 1,046 "," 46,971 ", 174 , -   , 139 , 19 , -   , -   , -   ," 8,173 "," 8,407 ", 495 ," (1,681)",
"$200,000 or more",98010, 148 , 136 , 96 , 475 , 94 ," 59,800 "," 35,465 "," 1,380 ", 956 ," 2,141 "," 5,833 ", 395 ," 1,417 ", -   , 281 , -   ," 7,486 ", 287 , 567 ," 1,124 "," 2,148 "," 3,670 ", 877 ," 50,758 ", 73 , -   , -   , 8 , -   , -   , 229 ," 12,608 "," 12,926 "," 1,509 ", (757),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98011," 14,261 "," 5,843 "," 5,414 "," 27,062 "," 4,461 "," 951,395 "," 778,630 "," 17,324 "," 13,868 "," 28,842 "," 17,431 "," 15,476 "," 43,348 "," 3,764 "," 17,396 "," 1,293 "," 155,337 "," 2,148 "," 10,581 "," 23,086 "," 36,793 "," 83,692 "," 16,551 "," 665,119 "," 4,698 ", -   ," 2,934 ", 322 ," 1,312 "," 1,066 ", 498 ," 114,501 "," 119,747 "," 8,709 "," (29,563)",
"Under $10,000",98011," 2,008 ", 142 , 614 ," 1,536 ", 179 ," 7,116 "," 9,198 ", 639 , 471 , (911), (161), 298 , 638 , 84 , -   , -   ," 3,692 ", 23 , 51 , 542 , 629 ," 1,959 ", 68 , 715 , 1 , -   , -   , -   , 315 , 269 , 9 , 72 , 274 , 79 ," (1,092)",
"$10,000 under $25,000",98011," 2,076 ", 289 , 765 ," 2,998 ", 415 ," 36,344 "," 27,771 "," 1,322 ", 811 ," 2,217 ", (31)," 1,138 "," 3,356 ", 405 , 225 , -   ," 5,767 ", 20 , 200 , 740 ," 1,003 "," 2,358 ", 374 ," 12,506 ", 174 , -   , 43 , 8 , 748 , 610 , -   ," 1,188 "," 1,599 ", 219 ," (2,674)",
"$25,000 under $50,000",98011," 3,180 ", 686 ," 1,173 "," 5,357 ", 798 ," 117,942 "," 97,070 "," 2,294 "," 1,731 "," 3,865 ", 99 ," 2,259 "," 7,320 "," 1,146 "," 2,887 ", 128 ," 16,552 ", 137 , 806 ," 2,431 "," 3,465 "," 7,903 "," 1,316 "," 68,201 ", 890 , -   , 536 , 52 , 249 , 187 , -   ," 7,961 "," 8,684 ", 546 ," (5,149)",
"$50,000 under $75,000",98011," 2,252 ", 928 , 891 ," 4,381 ", 661 ," 138,987 "," 113,169 "," 2,512 "," 1,968 "," 3,208 ", 510 ," 2,985 "," 9,418 ", 689 ," 5,105 ", -   ," 24,733 ", 262 ," 1,456 "," 3,632 "," 5,528 "," 13,509 "," 2,163 "," 90,891 ", 986 , -   , 752 , 47 , -   , -   , -   ," 12,708 "," 13,373 ", 780 ," (5,158)",
"$75,000 under $100,000",98011," 1,633 "," 1,098 ", 683 ," 3,867 ", 670 ," 142,342 "," 119,147 "," 2,019 "," 1,763 "," 3,957 ", 423 ," 2,764 "," 7,623 ", 567 ," 4,109 ", 84 ," 26,832 ", 298 ," 1,760 "," 3,985 "," 6,205 "," 15,294 "," 2,652 "," 97,304 "," 1,075 ", -   , 769 , 49 , -   , -   , -   ," 14,010 "," 14,775 ", 767 ," (4,672)",
"$100,000 under $200,000",98011," 2,648 "," 2,276 "," 1,033 "," 7,537 "," 1,461 "," 356,303 "," 309,201 "," 4,938 "," 4,089 "," 7,434 "," 3,802 "," 4,700 "," 12,375 ", 791 ," 4,198 ", 417 ," 61,481 ", 756 ," 4,768 "," 9,387 "," 15,302 "," 34,921 "," 7,393 "," 264,252 "," 1,218 ", -   , 833 , 147 , -   , -   , 66 ," 46,637 "," 48,126 "," 2,814 "," (8,229)",
"$200,000 or more",98011, 464 , 424 , 255 ," 1,386 ", 277 ," 152,361 "," 103,073 "," 3,601 "," 3,034 "," 9,071 "," 12,790 "," 1,332 "," 2,618 ", 83 , 872 , 664 ," 16,280 ", 652 ," 1,540 "," 2,369 "," 4,661 "," 7,748 "," 2,584 "," 131,250 ", 355 , -   , -   , 19 , -   , -   , 423 ," 31,924 "," 32,917 "," 3,503 "," (2,589)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98012," 24,924 "," 11,508 "," 10,342 "," 50,686 "," 8,849 "," 1,810,057 "," 1,468,835 "," 31,935 "," 26,525 "," 57,263 "," 35,144 "," 29,653 "," 70,354 "," 7,801 "," 27,388 "," 2,838 "," 320,815 "," 4,621 "," 20,343 "," 46,676 "," 73,818 "," 183,158 "," 31,014 "," 1,256,832 "," 10,041 ", 10 ," 6,533 ", 670 ," 2,547 "," 2,077 "," 1,154 "," 219,859 "," 230,218 "," 18,015 "," (59,696)",
"Under $10,000",98012," 3,172 ", 284 ," 1,095 "," 2,475 ", 305 ," 9,619 "," 15,080 "," 1,571 ", 651 ," (1,152)", 593 , 567 , 866 , 217 , -   , -   ," 7,496 ", 32 , 110 ," 1,146 "," 1,323 "," 4,175 ", 99 ," 1,157 ", 3 , -   , -   , -   , 505 , 430 , -   , 111 , 386 , 114 ," (1,921)",
"$10,000 under $25,000",98012," 3,255 ", 512 ," 1,293 "," 4,603 ", 638 ," 56,762 "," 44,653 "," 1,617 "," 1,177 "," 3,810 ", (108)," 1,468 "," 4,339 ", 893 , 323 , -   ," 9,422 ", 38 , 319 ," 1,284 "," 1,691 "," 4,404 ", 574 ," 19,732 ", 300 , -   , 72 , 17 ," 1,506 "," 1,247 ", -   ," 1,855 "," 2,524 ", 328 ," (4,716)",
"$25,000 under $50,000",98012," 5,216 "," 1,268 "," 2,134 "," 9,075 "," 1,441 "," 193,861 "," 162,443 "," 3,581 "," 2,172 "," 6,780 ", 280 ," 3,572 "," 11,215 "," 2,005 "," 3,864 ", 106 ," 31,587 ", 208 ," 1,391 "," 4,670 "," 6,464 "," 17,475 "," 2,286 "," 108,178 "," 1,444 ", -   , 922 , 100 , 535 , 399 , -   ," 12,650 "," 14,070 ", 978 ," (9,766)",
"$50,000 under $75,000",98012," 3,950 "," 1,773 "," 1,683 "," 8,320 "," 1,430 "," 244,734 "," 206,684 "," 4,392 "," 2,466 "," 6,600 ", 738 ," 4,359 "," 12,794 "," 1,479 "," 6,505 ", 154 ," 49,261 ", 525 ," 2,603 "," 7,142 "," 10,577 "," 28,756 "," 3,425 "," 152,825 "," 2,040 ", -   ," 1,616 ", 93 , -   , -   , -   ," 20,748 "," 22,103 "," 1,295 "," (10,422)",
"$75,000 under $100,000",98012," 3,264 "," 2,317 "," 1,332 "," 8,428 "," 1,568 "," 284,159 "," 244,417 "," 3,785 "," 2,561 "," 5,775 ", 641 ," 5,616 "," 12,977 "," 1,270 "," 6,784 ", 199 ," 57,857 ", 536 ," 3,639 "," 8,482 "," 13,155 "," 34,576 "," 4,822 "," 188,422 "," 2,692 ", -   ," 2,061 ", 113 , -   , -   , 25 ," 26,114 "," 27,375 "," 1,379 "," (10,581)",
"$100,000 under $200,000",98012," 5,108 "," 4,480 "," 2,189 "," 14,806 "," 2,880 "," 684,977 "," 593,550 "," 9,285 "," 7,506 "," 19,246 "," 5,217 "," 10,450 "," 22,246 "," 1,700 "," 8,413 "," 1,079 "," 128,466 "," 1,803 "," 9,252 "," 18,760 "," 30,610 "," 76,154 "," 12,649 "," 497,422 "," 2,655 ", 10 ," 1,863 ", 298 , -   , -   , 126 ," 86,804 "," 90,263 "," 5,571 "," (16,948)",
"$200,000 or more",98012, 959 , 874 , 616 ," 2,979 ", 587 ," 335,944 "," 202,008 "," 7,704 "," 9,991 "," 16,202 "," 27,783 "," 3,621 "," 5,917 ", 237 ," 1,499 "," 1,299 "," 36,726 "," 1,478 "," 3,028 "," 5,191 "," 9,998 "," 17,619 "," 7,160 "," 289,096 ", 907 , -   , -   , 49 , -   , -   ," 1,002 "," 71,577 "," 73,498 "," 8,349 "," (5,341)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98013, 251 , 89 , 129 , 402 , 56 ," 16,373 "," 7,929 ", 379 , 539 ," 1,217 ", 148 , 642 ," 1,373 ", -   , 649 , -   ," 2,749 ", -   , 125 , 499 , 711 ," 1,101 ", 123 ," 11,681 ", 35 , -   , -   , -   , 39 , 14 , -   ," 2,135 "," 2,348 ", 169 , (332),
"Under $10,000",98013, 50 , -   , 20 , 49 , -   , 160 , 95 , 13 , 37 , 78 , (23), -   , -   , -   , -   , -   , -   , -   , -   , 40 , -   , -   , -   , -   , -   , -   , -   , -   , 13 , 14 , -   , -   , 17 , -   , (17),
"$10,000 under $25,000",98013, 50 , -   , 18 , 61 , 22 , 846 , 356 , 19 , 33 , 225 , 32 , 69 , -   , -   , -   , -   , 319 , -   , -   , -   , 54 , -   , -   , 284 , -   , -   , -   , -   , 25 , -   , -   , 24 , 56 , 30 , (38),
"$25,000 under $50,000",98013, 40 , 19 , 18 , 63 , -   ," 1,488 ", 873 , 30 , 40 , 231 , (9), -   , 230 , -   , 67 , -   , 344 , -   , 14 , 57 , 91 , 127 , 16 , 776 , 11 , -   , -   , -   , -   , -   , -   , 87 , 126 , -   , (90),
"$50,000 under $75,000",98013, 41 , 26 , 24 , 70 , 14 ," 2,454 "," 1,547 ", 81 , 210 , 86 , 18 , 120 , 609 , -   , 248 , -   , 296 , -   , 26 , 106 , 75 , 219 , 21 ," 1,695 ", 10 , -   , -   , -   , -   , -   , -   , 235 , 279 , 19 , (43),
"$75,000 under $100,000",98013, 18 , -   , 15 , 32 , -   ," 1,559 ", 821 , 46 , -   , -   , -   , -   , -   , -   , -   , -   , 235 , -   , -   , -   , 75 , -   , -   ," 1,159 ", -   , -   , -   , -   , -   , -   , -   , 192 , 203 , -   , (41),
"$100,000 under $200,000",98013, 40 , 44 , 23 , 101 , 20 ," 5,487 "," 4,236 ", 190 , 220 , 597 , 131 , 453 , 535 , -   , 334 , -   , 920 , -   , 85 , 180 , 251 , 755 , 87 ," 4,111 ", 14 , -   , -   , -   , -   , -   , -   , 718 , 790 , 120 , (103),
"$200,000 or more",98013, 12 , -   , 11 , 26 , -   ," 4,379 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 634 , -   , -   , 117 , 166 , -   , -   ," 3,657 ", -   , -   , -   , -   , -   , -   , -   , 878 , 878 , -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98014," 3,397 "," 1,654 "," 1,615 "," 7,012 "," 1,196 "," 266,905 "," 210,344 "," 5,779 "," 6,095 "," 10,873 "," 8,691 "," 3,516 "," 9,506 "," 1,172 "," 3,514 ", 634 ," 50,402 ", 696 ," 3,336 "," 8,078 "," 12,381 "," 27,404 "," 4,325 "," 187,149 "," 1,212 ", -   , 765 , 61 , 337 , 266 , 352 ," 34,833 "," 36,543 "," 2,609 "," (9,052)",
"Under $10,000",98014, 535 , 46 , 210 , 380 , 42 ," 1,317 "," 2,512 ", 209 , 286 , -   , 45 , 66 , 110 , -   , -   , -   ," 1,585 ", 10 , 19 , 263 , 290 , 707 , 17 , 190 , -   , -   , -   , -   , 62 , 48 , -   , 20 , 86 , 26 , (423),
"$10,000 under $25,000",98014, 480 , 68 , 214 , 655 , 92 ," 8,354 "," 6,537 ", 278 , 239 , 638 , 8 , 147 , 718 , 130 , 29 , -   ," 1,277 ", -   , 36 , 208 , 260 , 637 , 57 ," 2,993 ", 37 , -   , 13 , 5 , 205 , 166 , -   , 287 , 401 , 67 , (669),
"$25,000 under $50,000",98014, 618 , 181 , 295 ," 1,211 ", 202 ," 22,707 "," 18,649 ", 263 , 332 ," 1,178 ", 58 , 391 ," 1,278 ", 359 , 403 , -   ," 3,844 ", 35 , 177 , 628 , 890 ," 2,157 ", 167 ," 12,025 ", 159 , -   , 119 , -   , 70 , 52 , -   ," 1,366 "," 1,589 ", 114 ," (1,263)",
"$50,000 under $75,000",98014, 463 , 248 , 231 ," 1,042 ", 167 ," 28,994 "," 23,015 ", 745 , 358 ," 1,042 ", 142 , 527 ," 2,210 ", 242 ," 1,036 ", -   ," 5,995 ", 61 , 316 ," 1,047 "," 1,457 "," 3,222 ", 479 ," 17,826 ", 240 , -   , 183 , 6 , -   , -   , -   ," 2,366 "," 2,550 ", 183 ," (1,123)",
"$75,000 under $100,000",98014, 389 , 288 , 197 ," 1,016 ", 189 ," 33,819 "," 27,844 ", 444 , 503 ," 1,048 ", 462 , 801 ," 1,762 ", 166 , 835 , 229 ," 7,554 ", 91 , 461 ," 1,166 "," 1,750 "," 4,426 ", 499 ," 21,817 ", 297 , -   , 208 , 11 , -   , -   , -   ," 2,957 "," 3,123 ", 163 ," (1,306)",
