adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,total_tax_number_of_returns,total_tax_amount,contributions_number_of_returns,contributions_amount,schedule_c_number_of_returns,schedule_f_number_of_returns,schedule_a_deductions_number_of_returns
98046,730,"1,211",312,"34,368",616,"22,589",321,958,584,"5,308",159,862,112,**,202
"Under $10,000        ",124,131,13,239,84,502,34,36,27,3,*       13,*       13,25,--,10
"$10,000 under $25,000",185,252,48,"3,242",150,"2,450",60,82,150,161,**,**,24,--,17
"$25,000 under $50,000",230,407,129,"8,307",209,"6,920",89,89,216,710,41,78,28,**,53
"$50,000 or more      ",191,421,122,"22,580",173,"12,717",138,751,191,"4,434",105,771,35,**,122
,,,,,,,,,,,,,,,
98047,"2,231","4,635","1,683","86,620","2,065","76,785",813,810,"1,736","8,416",612,979,204,**,731
"Under $10,000        ",335,353,110,959,289,"1,566",51,82,97,17,**,**,26,**,11
"$10,000 under $25,000",539,956,342,"9,366",477,"7,851",120,130,356,344,*       37,*       55,29,**,50
"$25,000 under $50,000",683,"1,441",531,"25,048",641,"21,973",216,170,613,"1,828",159,222,74,--,197
"$50,000 or more      ",674,"1,885",700,"51,247",658,"45,395",426,428,670,"6,227",416,702,75,**,473
,,,,,,,,,,,,,,,
98050,284,569,159,"50,420",232,"44,405",202,468,237,"13,874",137,"4,395",59,**,162
"Under $10,000        ",40,40,8,-560,25,359,18,30,**,**,*       11,*       12,**,**,10
"$10,000 under $25,000",51,64,10,894,36,604,27,69,*       51,*         55,**,**,*       26,--,13
"$25,000 under $50,000",55,98,20,"2,034",46,"1,449",36,73,48,157,23,48,**,--,26
"$50,000 or more      ",138,367,121,"48,052",125,"41,993",121,296,138,"13,662",103,"4,335",33,**,113
,,,,,,,,,,,,,,,
98051,"1,436","2,920",910,"73,631","1,264","60,381",828,"1,039","1,164","8,725",569,"1,136",211,24,681
"Under $10,000        ",227,178,39,901,184,"1,066",77,53,66,17,**,**,22,*       10,16
"$10,000 under $25,000",268,406,88,"4,621",211,"3,314",107,222,185,183,*       46,*       65,31,**,60
"$25,000 under $50,000",328,600,156,"12,054",287,"9,673",144,236,307,956,99,107,49,**,121
"$50,000 or more      ",613,"1,736",627,"56,055",582,"46,328",500,528,606,"7,569",424,964,109,14,484
,,,,,,,,,,,,,,,
98052,"24,426","45,720","12,903","2,042,110","21,382","1,747,616","15,287","32,417","20,862","407,278","8,833","32,571","3,115",35,"10,245"
"Under $10,000        ","3,317","2,327",414,85,"2,346","13,485","1,423","1,452","1,011",224,109,145,325,**,274
"$10,000 under $25,000","3,501","4,776","1,039","61,295","2,770","45,714","1,413","2,354","2,626","2,811",424,719,398,**,557
"$25,000 under $50,000","5,075","8,149","1,866","185,782","4,503","153,962","2,457","3,818","4,774","16,118","1,243","2,331",587,**,"1,505"
"$50,000 or more      ","12,533","30,468","9,584","1,794,948","11,763","1,534,455","9,994","24,793","12,451","388,125","7,057","29,376","1,805",*       35,"7,909"
,,,,,,,,,,,,,,,
98053,"5,971","13,239","4,608","747,532","5,097","615,404","4,212","13,017","4,956","168,587","3,107","21,260","1,077",51,"3,579"
"Under $10,000        ","1,016",578,116,"-10,503",700,"3,935",426,"1,077",307,67,36,36,114,*       10,117
"$10,000 under $25,000",639,867,175,"10,895",464,"7,736",319,494,479,491,112,212,104,**,152
"$25,000 under $50,000",828,"1,495",411,"30,672",693,"23,331",451,675,729,"2,347",287,532,166,**,360
"$50,000 or more      ","3,488","10,299","3,906","716,468","3,240","580,402","3,016","10,771","3,441","165,682","2,672","20,480",693,41,"2,950"
,,,,,,,,,,,,,,,
98054,108,169,22,"14,045",70,"6,403",82,718,93,"3,736",54,160,17,--,56
"Under $10,000        ",11,9,0,33,*       11,*        129,**,**,**,**,**,**,**,--,**
"$10,000 under $25,000",17,24,3,269,**,**,*       17,*       33,*       14,*          7,**,**,*       17,--,**
"$25,000 under $50,000",29,44,7,"1,049",21,825,19,20,28,92,*       17,*       28,**,--,*       18
"$50,000 or more      ",51,92,12,"12,694",38,"5,449",46,665,51,"3,637",37,132,**,--,38
,,,,,,,,,,,,,,,
98055,"13,075","23,412","6,726","553,628","11,509","457,170","6,117","9,887","10,588","64,735","3,506","8,397","1,365",**,"4,135"
"Under $10,000        ","1,795","1,945",484,"7,679","1,360","7,515",517,486,422,84,42,68,224,**,93
"$10,000 under $25,000","3,128","4,865","1,377","55,437","2,588","43,085",946,"1,428","2,299","2,328",228,389,309,**,337
"$25,000 under $50,000","4,216","7,202","2,015","152,323","3,880","132,017","1,795","1,764","3,949","12,733",970,"1,584",353,**,"1,195"
"$50,000 or more      ","3,936","9,400","2,850","338,189","3,681","274,553","2,859","6,209","3,918","49,590","2,266","6,356",479,**,"2,510"
,,,,,,,,,,,,,,,
98056,"13,264","24,717","6,949","689,976","11,549","564,646","7,227","13,170","11,024","89,993","4,593","10,904","1,636",19,"5,375"
"Under $10,000        ","1,670","1,605",341,"5,058","1,261","7,144",536,412,436,80,54,60,205,**,127
"$10,000 under $25,000","2,649","4,140","1,120","46,415","2,092","34,352",915,"1,501","1,930","1,928",255,371,265,**,355
"$25,000 under $50,000","3,884","6,774","1,893","141,166","3,495","118,522","1,816","2,151","3,622","11,477","1,009","1,588",395,**,"1,284"
"$50,000 or more      ","5,061","12,198","3,595","497,337","4,701","404,628","3,960","9,106","5,036","76,508","3,275","8,885",771,*       19,"3,609"
,,,,,,,,,,,,,,,
98057,559,895,205,"28,340",453,"21,282",291,597,476,"4,170",157,902,79,**,178
"Under $10,000        ",66,73,13,-100,38,211,21,22,15,3,**,**,17,**,**
"$10,000 under $25,000",137,183,33,"2,375",99,"1,528",43,78,113,117,*       14,*       11,16,--,*       16
"$25,000 under $50,000",165,251,63,"6,092",143,"5,217",80,83,157,557,40,86,13,**,45
"$50,000 or more      ",191,388,96,"19,973",173,"14,326",147,414,191,"3,493",103,805,33,--,117
,,,,,,,,,,,,,,,
98058,"17,870","36,449","12,126","955,056","15,754","790,051","10,491","12,683","14,676","121,928","6,913","17,859","2,193",31,"7,874"
"Under $10,000        ","2,757","2,001",480,"9,418","2,229","11,139","1,047",661,895,181,76,99,238,**,159
"$10,000 under $25,000","3,064","4,790","1,401","53,234","2,436","39,947","1,141","1,342","2,173","2,156",319,482,329,--,432
"$25,000 under $50,000","4,376","8,265","2,589","160,491","3,883","132,232","2,107","2,208","3,982","12,494","1,254","1,916",458,*       13,"1,517"
"$50,000 or more      ","7,673","21,393","7,656","731,913","7,206","606,733","6,196","8,472","7,626","107,097","5,264","15,362","1,168",18,"5,766"
,,,,,,,,,,,,,,,
98059,"12,525","24,982","7,735","740,928","10,928","605,817","7,797","10,958","10,473","104,531","4,955","13,097","1,598",27,"5,650"
"Under $10,000        ","1,826","1,299",248,"4,859","1,383","7,267",768,547,584,115,41,49,152,**,103
"$10,000 under $25,000","2,008","2,930",698,"34,653","1,547","24,859",867,"1,333","1,469","1,450",233,397,199,*       12,306
"$25,000 under $50,000","3,187","5,691","1,562","116,742","2,823","94,954","1,677","1,872","2,946","9,342",883,"1,444",374,**,"1,095"
"$50,000 or more      ","5,504","15,062","5,227","584,674","5,175","478,737","4,485","7,206","5,474","93,624","3,798","11,207",873,15,"4,146"
,,,,,,,,,,,,,,,
98061,199,317,67,"11,098",134,"5,228",136,390,164,"1,483",73,411,52,**,82
"Under $10,000        ",39,17,0,142,29,123,21,14,12,3,--,--,**,--,--
"$10,000 under $25,000",36,48,7,640,18,271,17,24,31,29,**,**,*       16,--,**
"$25,000 under $50,000",46,79,16,"1,701",30,850,30,68,44,130,*       20,*       44,15,--,*       26
"$50,000 or more      ",78,173,44,"8,615",57,"3,984",68,284,77,"1,321",53,367,21,**,56
,,,,,,,,,,,,,,,
98062,237,399,70,"16,440",146,"7,031",196,700,187,"2,692",106,411,42,**,128
"Under $10,000        ",37,36,5,-291,17,93,26,31,**,**,**,**,*       13,**,10
"$10,000 under $25,000",45,49,2,742,20,246,35,86,*       37,*         30,*       14,*       14,**,--,16
"$25,000 under $50,000",46,76,10,"1,666",31,"1,026",34,80,43,133,21,56,10,--,23
"$50,000 or more      ",109,238,53,"14,323",78,"5,666",101,503,107,"2,529",71,341,19,--,79
,,,,,,,,,,,,,,,
98063,500,845,198,"31,776",385,"16,943",285,954,402,"4,932",178,642,85,**,213
"Under $10,000        ",81,98,21,3,46,450,34,166,12,2,**,**,20,--,13
"$10,000 under $25,000",82,105,17,"1,410",58,965,31,103,65,62,*       16,*       28,14,--,11
"$25,000 under $50,000",159,264,65,"5,976",138,"4,798",81,166,147,497,50,111,18,**,63
"$50,000 or more      ",178,378,95,"24,387",143,"10,730",139,519,178,"4,371",112,503,33,--,126
,,,,,,,,,,,,,,,
98064,509,956,244,"27,430",404,"18,709",316,556,412,"3,633",186,592,93,**,221
"Under $10,000        ",59,79,22,170,36,193,24,26,**,**,**,**,13,**,11
"$10,000 under $25,000",107,181,45,"1,923",77,"1,278",45,71,*       78,*         73,*       17,*       30,21,--,20
"$25,000 under $50,000",135,234,60,"4,843",115,"3,734",75,102,127,375,36,94,15,--,43
"$50,000 or more      ",208,462,117,"20,494",176,"13,504",172,357,207,"3,185",133,468,44,**,147
,,,,,,,,,,,,,,,
98065,"2,993","6,273","1,928","215,344","2,706","182,515","1,760","2,633","2,569","31,594","1,352","3,027",455,19,"1,602"
"Under $10,000        ",339,258,54,"1,075",243,"1,329",114,202,109,21,13,14,43,--,34
"$10,000 under $25,000",462,683,169,"7,973",382,"6,131",175,173,326,352,38,39,45,**,55
"$25,000 under $50,000",633,"1,183",342,"23,603",588,"20,173",297,274,584,"1,811",190,270,85,**,241
"$50,000 or more      ","1,559","4,149","1,363","182,693","1,493","154,882","1,174","1,984","1,550","29,410","1,111","2,704",282,*       19,"1,272"
,,,,,,,,,,,,,,,
98068,155,246,37,"9,412",140,"7,670",88,74,130,"1,738",51,88,34,**,62
"Under $10,000        ",25,23,3,96,17,101,**,**,**,**,**,**,**,--,**
"$10,000 under $25,000",29,35,2,489,28,378,*       15,*        6,*       31,*         23,**,**,*       16,--,**
"$25,000 under $50,000",41,66,10,"1,473",39,"1,147",30,26,39,130,*       15,*       18,**,**,*       18
"$50,000 or more      ",60,122,22,"7,354",56,"6,044",43,42,60,"1,585",36,70,18,--,44
,,,,,,,,,,,,,,,
98070,"4,896","9,158","2,428","303,818","3,674","200,975","3,275","8,800","3,853","48,816","1,972","5,292","1,282",64,"2,389"
"Under $10,000        ",934,785,120,"2,290",579,"3,014",441,411,245,53,36,35,205,**,93
"$10,000 under $25,000",850,"1,242",231,"14,419",514,"7,700",447,765,604,549,172,259,237,*       15,229
"$25,000 under $50,000","1,108","2,012",478,"41,140",870,"28,352",686,"1,173","1,018","3,032",391,583,287,15,522
"$50,000 or more      ","2,004","5,119","1,599","245,969","1,711","161,909","1,701","6,451","1,986","45,182","1,373","4,415",553,34,"1,545"
,,,,,,,,,,,,,,,
98071,788,"1,417",392,"39,396",651,"30,194",392,"1,014",644,"5,624",220,578,104,10,277
"Under $10,000        ",101,101,23,"-1,089",66,499,32,59,17,8,**,**,23,--,14
"$10,000 under $25,000",150,255,81,"2,667",114,"1,832",47,73,104,109,*       17,*       41,17,--,15
"$25,000 under $50,000",254,408,100,"9,245",217,"7,450",107,108,244,809,50,128,23,*       10,70
"$50,000 or more      ",283,653,188,"28,573",254,"20,413",206,774,279,"4,698",153,409,41,**,178
,,,,,,,,,,,,,,,
98072,"15,934","33,845","11,766","1,574,201","13,545","1,267,251","10,794","31,718","13,022","328,936","7,870","33,204","2,566",84,"8,775"
"Under $10,000        ","3,004","1,705",341,"-4,873","2,139","13,412","1,394","1,689",980,263,109,142,251,12,254
"$10,000 under $25,000","2,047","2,679",550,"35,096","1,540","24,461",933,"1,577","1,536","1,561",278,419,232,*       14,384
"$25,000 under $50,000","2,692","4,763","1,236","99,462","2,290","77,777","1,466","2,558","2,405","7,543",939,"1,847",403,**,"1,138"
"$50,000 or more      ","8,191","24,698","9,639","1,444,516","7,576","1,151,601","7,001","25,894","8,101","319,569","6,544","30,796","1,680",58,"6,999"
,,,,,,,,,,,,,,,
98073,637,"1,066",243,"69,131",481,"46,294",430,"1,981",520,"15,798",231,"2,132",135,**,297
"Under $10,000        ",80,80,15,-17,42,310,42,118,17,4,**,**,19,**,15
"$10,000 under $25,000",111,147,26,"1,979",73,"1,165",59,82,77,83,*       14,*       33,16,--,32
"$25,000 under $50,000",153,228,45,"5,672",116,"3,640",93,143,136,483,44,86,28,--,58
"$50,000 or more      ",293,611,157,"61,497",250,"41,179",236,"1,638",290,"15,228",173,"2,013",72,**,192
,,,,,,,,,,,,,,,
98074,"9,667","22,328","8,211","1,132,268","8,599","955,145","6,806","13,159","8,260","236,629","5,471","19,940","1,464",18,"6,139"
"Under $10,000        ","1,569",717,132,64,"1,183","6,235",657,439,570,153,41,60,74,--,110
"$10,000 under $25,000",914,"1,116",222,"15,364",708,"11,230",394,661,689,728,141,220,104,**,196
"$25,000 under $50,000","1,142","2,071",566,"42,940",964,"33,578",656,"1,035","1,005","3,159",465,843,194,**,552
"$50,000 or more      ","6,042","18,424","7,291","1,073,900","5,744","904,102","5,099","11,024","5,996","232,589","4,824","18,817","1,092",*       18,"5,281"
,,,,,,,,,,,,,,,
98075,"6,445","15,716","6,086","820,841","5,540","657,314","4,783","13,131","5,431","171,809","3,759","25,254","1,079",15,"4,132"
"Under $10,000        ","1,081",523,100,"-5,256",739,"4,319",501,677,358,89,31,22,72,**,86
"$10,000 under $25,000",549,659,116,"9,288",411,"6,634",267,463,409,451,88,176,74,--,113
"$25,000 under $50,000",689,"1,314",372,"25,534",553,"18,493",414,859,591,"1,812",249,489,102,**,301
"$50,000 or more      ","4,126","13,220","5,498","791,275","3,837","627,868","3,601","11,132","4,073","169,457","3,391","24,567",831,*       15,"3,632"
,,,,,,,,,,,,,,,
98077,198,499,209,"36,121",142,"29,513",136,705,154,"9,601",106,473,59,--,130
"Under $10,000        ",45,49,19,-255,16,92,19,56,14,6,*       12,*        8,*       16,--,*       18
"$10,000 under $25,000",19,31,6,332,11,310,10,16,13,13,**,**,**,--,**
"$25,000 under $50,000",29,62,22,"1,034",25,871,20,47,25,63,11,13,13,--,17
"$50,000 or more      ",105,357,162,"35,010",90,"28,240",87,586,102,"9,519",83,452,30,--,95
,,,,,,,,,,,,,,,
98082,510,963,270,"31,567",422,"22,188",325,954,436,"4,837",188,507,93,--,223
"Under $10,000        ",55,60,18,31,36,206,28,53,14,3,**,**,10,--,**
"$10,000 under $25,000",95,130,26,"1,673",71,"1,048",42,67,72,73,*       14,*       17,17,--,*       25
"$25,000 under $50,000",136,245,74,"5,003",121,"4,269",66,151,126,393,31,63,15,--,43
"$50,000 or more      ",224,528,152,"24,860",194,"16,665",189,683,224,"4,368",143,427,51,--,155
,,,,,,,,,,,,,,,
98083,629,975,176,"181,218",472,"33,313",406,"44,913",509,"21,394",246,"11,518",152,**,297
"Under $10,000        ",93,95,14,"-1,138",56,473,42,117,18,4,**,**,25,--,23
"$10,000 under $25,000",108,142,22,"1,872",67,"1,074",64,102,78,79,*       29,*       44,26,--,34
"$25,000 under $50,000",152,205,29,"5,560",130,"4,237",82,126,141,520,42,132,29,--,47
"$50,000 or more      ",276,533,111,"174,924",219,"27,529",218,"44,568",272,"20,791",175,"11,342",72,**,193
,,,,,,,,,,,,,,,
98089,20,36,7,850,15,560,12,13,16,86,**,**,10,--,**
"Under $10,000        ",**,**,**,**,**,**,**,**,**,**,--,--,*       10,--,--
"$10,000 under $25,000",**,**,**,**,**,**,*       12,*       13,**,**,**,**,**,--,**
"$25,000 under $50,000",*       20,*       36,*        7,*        850,*       15,*        560,**,**,*       16,*         86,**,**,**,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,**,--,**
,,,,,,,,,,,,,,,
98092,"12,314","26,221","9,188","669,663","10,998","552,467","6,708","10,319","10,000","84,703","5,177","13,543","1,610",107,"5,907"
"Under $10,000        ","1,964","1,512",390,"5,320","1,621","8,424",607,702,579,110,40,49,155,19,110
"$10,000 under $25,000","2,162","3,333",965,"37,626","1,750","28,035",688,946,"1,558","1,524",241,400,235,13,328
"$25,000 under $50,000","2,800","5,640","1,925","102,942","2,535","86,491","1,244","1,412","2,513","7,489",870,"1,511",326,21,"1,087"
"$50,000 or more      ","5,388","15,736","5,908","523,775","5,092","429,517","4,169","7,259","5,350","75,580","4,026","11,583",894,54,"4,382"
,,,,,,,,,,,,,,,
98093,771,"1,441",425,"44,507",659,"36,258",406,784,649,"6,521",296,787,92,**,328
"Under $10,000        ",90,82,17,334,62,282,22,23,27,10,**,**,14,--,10
"$10,000 under $25,000",139,210,54,"2,346",107,"1,671",52,39,95,86,*       20,*       28,19,--,15
"$25,000 under $50,000",224,374,102,"8,087",200,"6,907",108,151,210,661,68,96,19,--,75
"$50,000 or more      ",318,775,252,"33,740",290,"27,398",224,571,317,"5,764",208,663,40,**,228
,,,,,,,,,,,,,,,
98100,72,119,29,"3,472",56,"2,425",29,52,49,546,13,42,15,--,16
"Under $10,000        ",14,20,4,60,**,**,**,**,**,**,--,--,**,--,--
"$10,000 under $25,000",24,32,7,415,*       26,*        353,*       17,*       36,*       19,*         20,**,**,*       15,--,**
"$25,000 under $50,000",18,34,9,617,16,510,**,**,14,45,*       13,*       42,**,--,**
"$50,000 or more      ",16,33,9,"2,380",14,"1,562",12,16,16,481,**,**,**,--,*       16
,,,,,,,,,,,,,,,
98101,"5,452","6,917",656,"424,786","4,187","218,894","2,771","31,814","4,629","89,719","1,240","25,695",606,11,"1,514"
"Under $10,000        ",744,755,55,"-35,816",488,"3,918",256,"6,668",187,100,32,46,92,--,85
"$10,000 under $25,000","1,358","1,533",122,"23,817","1,050","18,310",484,"1,101","1,153","1,300",132,310,104,**,179
"$25,000 under $50,000","1,506","1,784",150,"53,294","1,263","42,808",645,"1,932","1,465","5,383",219,750,109,*       11,281
"$50,000 or more      ","1,844","2,845",329,"383,491","1,386","153,858","1,386","22,113","1,824","82,936",857,"24,589",301,**,969
,,,,,,,,,,,,,,,
98102,"12,758","15,328","1,192","767,342","11,175","589,963","6,393","17,723","11,175","151,531","2,472","12,846","1,830",23,"2,936"
"Under $10,000        ","1,643","1,442",65,"-15,059","1,191","7,929",629,"1,358",470,116,47,44,280,**,136
"$10,000 under $25,000","3,051","3,200",118,"53,855","2,653","44,576","1,034","1,224","2,708","3,145",169,318,413,**,239
"$25,000 under $50,000","4,263","4,798",236,"153,052","3,970","135,354","1,856","1,914","4,219","16,448",469,718,448,**,596
"$50,000 or more      ","3,801","5,888",773,"575,494","3,361","402,104","2,874","13,227","3,778","131,822","1,787","11,766",689,*       23,"1,965"
,,,,,,,,,,,,,,,
98103,"24,687","34,913","5,445","1,250,039","21,159","1,004,698","14,191","26,392","21,182","191,283","6,496","17,664","3,965",27,"7,539"
"Under $10,000        ","3,267","2,827",196,"6,560","2,210","13,190","1,402","1,336",918,195,113,110,577,**,258
