zipcode,adjusted_gross_income_size,returns,joint_returns,paid_preparer_number_of_returns,number_of_exemptions_total,dependent_number_of_returns,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,ordinary_dividends_number_of_returns,ordinary_dividends_amounts,qualified_dividends_number_of_returns,qualified_dividends_amounts,business_net_income_number_of_returns,business_net_income_amount,farm_number_of_returns,net_capital_gain_in_agi_number_of_returns,net_capital_gain_in_agi_amount,taxable_individual_retirement_arrangement_distributions_number_of_returns,taxable_individual_retirement_arrangement_distributions_amount,pensions_and_annuities_in_agi_number_of_returns,pensions_and_annuities_in_agi_amount,unemployment_compensation_in_agi_number_of_returns,unemployment_compensation_in_agi_amount,social_security_benefits_in_agi_number_of_returns,social_security_benefits_in_agi_amount,self_employment_retirement_plans_number_of_returns,self_employment_retirement_plans_amount,total_itemized_deductions_number_of_returns,total_itemized_deductions_amount,state_and_local_income_taxes_number_of_returns,state_and_local_income_taxes_amount,state_and_local_general_sales_taxes_number_of_returns,state_and_local_general_sales_taxes_amount,real_estate_taxes_number_of_returns,real_estate_taxes_amount,taxes_paid_number_of_returns,taxes_paid_amount,mortgage_interest_paid_number_of_returns,mortgage_interest_paid_amount,contributions_number_of_returns,contributions_amount,taxable_income_number_of_returns,taxable_income_amount,total_tax_credits_number_of_returns,total_tax_credits_amount,residential_energy_credit_number_of_returns,residential_energy_credit_amount,child_tax_credit_number_of_returns,child_tax_credit_amount,child_and_dependent_care_credit_number_of_returns,child_and_dependent_care_credit_amount,additional_child_tax_credit_number_of_returns,additional_child_tax_credit_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,earned_income_credit_refundable_number_of_returns,earned_income_credit_refundable_amount,alternative_minimum_tax_number_of_returns,alternative_minimum_tax_amount,income_tax_number_of_returns,income_tax_amount,total_tax_liability_number_of_returns,total_tax_liability_amount,tax_due_at_time_of_filing_number_of_returns,tax_due_at_time_of_filing_amount,overpayments_refunded_number_of_returns,overpayments_refunded_amount
98007,"$200,000 or more",383,333,203,1131,415,143559,354,97064,354,2537,319,3391,307,2495,70,6831,0,293,6007,**,**,46,1379,**,**,25,684,24,799,305,12864,21,238,240,1166,294,1822,305,3448,265,5820,278,2788,383,126281,198,792,42,54,0,0,49,24,0,0,0,0,0,0,157,484,383,32648,383,33444,165,2367,174,2659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98008,,"11,675","5,446","5,038","23,872","6,920","1,008,016","9,479","744,098","7,156","19,800","4,983","26,413","4,482","19,339","1,811","33,677",0,"3,769","37,771","1,097","18,452","2,308","50,585",887,"9,680","1,731","25,692",147,"2,445","5,202","144,224",163,"1,165","4,215","10,769","4,823","21,208","5,158","35,435","4,266","69,542","4,337","17,661","9,646","742,542","4,339","6,407",796,780,"1,617","2,019",485,239,730,"1,023",815,"1,279",646,"1,018",439,"1,496","8,990","143,397","9,429","149,178","2,590","11,596","8,151","27,694"
98008,"$1 under $25,000",3265,469,1290,4195,842,38178,2291,26754,1246,1693,712,1599,589,921,433,2822,0,528,-431,234,1530,473,3891,216,2113,156,250,**,**,435,8472,**,**,334,271,342,1193,420,1559,252,2772,284,395,1436,9208,381,152,21,11,54,19,**,**,360,473,573,906,469,749,**,**,1184,828,1477,1324,416,266,2362,3389
98008,"$25,000 under $50,000",2208,631,989,4099,1092,80727,1775,59234,1070,1974,574,1970,503,1212,300,3444,0,399,-458,213,2188,432,7343,225,2690,425,3102,29,202,659,13557,45,88,534,627,581,1984,647,2784,463,5731,480,944,2048,41789,779,623,69,55,354,324,57,23,305,472,242,373,177,269,0,0,1746,4602,1855,5283,404,516,1721,4053
98008,"$50,000 under $75,000",1590,760,720,3184,815,98049,1248,67752,1027,2771,630,2728,566,1953,244,3223,0,457,293,210,3118,461,10369,156,1765,439,6911,**,**,776,18599,**,**,635,974,699,2568,772,3810,586,7626,620,1595,1561,61918,671,854,118,108,330,491,46,21,65,78,0,0,0,0,**,**,1483,8104,1511,8713,379,738,1116,3464
98008,"$75,000 under $100,000",1301,815,526,2938,814,113942,1106,86746,988,2080,719,2260,650,1569,206,3907,0,510,124,166,3721,308,8708,88,1005,281,5803,20,257,750,17706,20,59,600,1240,697,2625,742,4126,642,8903,623,1686,1293,80044,653,952,132,119,336,528,69,33,**,**,0,0,0,0,**,**,1281,11634,1286,12319,303,744,944,3709
98008,"$100,000 under $200,000",2464,2018,1040,6813,2318,338923,2265,277660,2051,5009,1634,5940,1495,4324,471,11249,0,1236,2881,224,6302,487,14438,170,1803,358,7922,59,896,1823,51972,60,284,1490,4412,1759,7407,1819,12923,1665,28618,1627,6503,2461,254973,1387,1709,328,330,543,657,227,119,**,**,0,0,0,0,74,132,2449,44888,2453,46886,722,3099,1621,8046
98008,"$200,000 or more",847,753,473,2643,1039,338197,794,225952,774,6273,714,11916,679,9360,157,9032,0,639,35362,50,1593,147,5836,32,304,72,1704,39,1090,759,33918,38,734,622,3245,745,5431,758,10233,658,15892,703,6538,847,294610,468,2117,128,157,0,0,86,43,0,0,0,0,0,0,365,1364,847,73341,847,74653,366,6233,387,5033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98010,,"2,446","1,207","1,150","5,091","1,571","196,418","2,068","151,079","1,378","3,788",701,"2,078",620,"1,665",307,"5,399",0,444,"5,664",190,"2,853",469,"10,769",274,"2,601",292,"3,622",0,0,"1,234","33,783",25,500,"1,001","2,433","1,184","5,803","1,229","9,303","1,112","17,980","1,006","3,464","2,053","137,359",832,"1,144",155,162,424,583,99,52,155,205,193,355,171,292,82,333,"1,931","25,759","2,011","26,846",437,"1,942","1,884","6,041"
98010,"$1 under $25,000",687,83,271,781,162,8152,518,5980,241,349,105,138,91,89,69,232,0,58,-13,30,163,115,996,63,483,37,60,0,0,77,1435,**,**,59,42,65,258,77,315,48,471,56,71,338,2158,74,27,**,**,**,**,**,**,71,79,128,251,117,212,0,0,294,207,343,293,77,38,532,812
98010,"$25,000 under $50,000",469,149,221,852,222,17422,387,13300,204,278,83,82,72,59,53,611,0,54,44,36,369,84,1608,75,834,82,549,0,0,159,2942,**,**,123,148,146,483,158,656,136,1574,110,193,436,9105,142,127,**,**,92,81,**,**,58,90,65,104,54,80,0,0,385,1016,408,1151,63,91,399,1000
98010,"$50,000 under $75,000",372,199,183,836,261,22953,324,17396,224,292,85,127,72,101,43,731,0,66,108,36,473,84,1742,66,640,69,1002,0,0,229,4675,25,500,187,274,220,792,229,1158,200,2668,161,315,362,13992,162,246,51,36,118,180,44,22,26,36,0,0,0,0,**,**,341,1760,347,1946,63,177,299,956
98010,"$75,000 under $100,000",306,225,140,792,261,26834,274,22048,206,375,114,160,97,112,44,523,0,58,48,32,700,74,1781,26,275,45,824,0,0,229,5254,**,**,187,416,218,920,225,1427,212,2946,186,373,305,17882,147,260,32,30,106,174,**,**,**,**,0,0,0,0,**,**,300,2417,302,2536,58,131,243,873
98010,"$100,000 under $200,000",482,435,246,1417,499,65527,450,55278,383,561,227,527,209,358,74,1507,0,134,141,56,1148,85,3482,44,369,59,1187,0,0,418,12781,**,**,344,989,414,2274,418,3487,404,7392,381,1189,482,46787,250,354,72,96,108,148,55,30,**,**,0,0,0,0,**,**,481,7863,481,8153,117,392,354,1929
98010,"$200,000 or more",130,116,89,413,166,55530,115,37077,120,1933,87,1044,79,946,24,1795,0,74,5336,**,**,27,1160,**,**,**,**,0,0,122,6696,**,**,101,564,121,1076,122,2260,112,2929,112,1323,130,47435,57,130,**,**,0,0,**,**,0,0,0,0,0,0,82,333,130,12496,130,12767,59,1113,57,471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98011,,"14,106","5,937","5,294","27,556","7,820","924,567","12,159","762,233","7,457","11,645","4,472","11,299","3,908","7,974","1,958","28,800",0,"3,067","11,436","1,014","13,263","2,322","44,065","1,307","13,184","1,486","17,602",93,"1,154","6,260","150,531",127,659,"5,102","10,826","5,865","23,957","6,186","37,371","5,550","78,057","5,129","15,860","11,863","630,866","4,828","7,018",737,687,"2,289","2,867",601,298,970,"1,377",993,"1,548",792,"1,271",229,515,"11,038","103,320","11,546","108,406","2,710","7,729","10,657","29,306"
98011,"$1 under $25,000",4060,476,1423,4888,973,48750,3009,35496,1399,1751,734,1463,630,859,481,3288,0,495,-461,248,1309,558,4746,299,2605,207,362,**,**,458,8895,**,**,346,288,353,1193,433,1550,269,2746,303,568,2012,12744,529,196,**,**,118,43,27,8,468,613,698,1117,564,926,0,0,1685,1173,2045,1769,498,287,3098,4190
98011,"$25,000 under $50,000",3208,737,1125,5587,1392,117780,2804,95922,1266,1742,607,1331,519,790,359,3911,0,400,-289,221,2011,490,7682,389,3919,430,2900,**,**,912,16353,29,51,720,807,806,2703,898,3748,724,7623,669,1296,3041,65475,1063,943,91,73,534,514,76,43,393,629,295,431,228,345,0,0,2666,7454,2774,8210,488,597,2645,5895
98011,"$50,000 under $75,000",2190,983,852,4394,1182,135218,1941,109816,1269,1976,667,1589,551,950,300,2813,0,420,131,198,2524,435,9568,230,2508,356,5098,33,228,1164,23428,35,131,928,1397,1096,3727,1154,5406,1031,12428,916,2011,2172,87082,861,1189,127,106,507,745,95,47,109,135,0,0,0,0,0,0,2070,11619,2101,12292,433,737,1702,5107
98011,"$75,000 under $100,000",1630,1109,669,3907,1155,141553,1508,117805,1089,1423,687,1253,609,860,288,4182,0,446,-20,144,2640,333,8506,146,1616,254,4519,**,**,1161,27396,**,**,953,1863,1100,4284,1146,6595,1087,15054,964,2770,1622,95248,779,1273,151,139,471,750,80,40,**,**,0,0,0,0,**,**,1605,13276,1616,14127,361,1127,1232,4851
98011,"$100,000 under $200,000",2549,2204,951,7365,2603,341126,2457,299273,2004,3270,1431,2517,1276,1815,444,8011,0,987,3226,172,3642,430,10993,210,2270,202,4040,39,433,2145,58289,63,477,1819,4925,2097,9577,2137,15544,2051,32456,1899,6665,2548,251588,1383,1834,317,317,659,815,268,133,**,**,0,0,0,0,61,84,2544,42923,2542,44438,728,2418,1752,7704
98011,"$200,000 or more",469,428,274,1415,515,140140,440,103921,430,1483,346,3146,323,2700,86,6595,0,319,8849,31,1137,76,2570,33,266,37,683,21,493,420,16170,**,**,336,1546,413,2473,418,4528,388,7750,378,2550,468,118729,213,1583,51,52,0,0,55,27,0,0,0,0,0,0,168,431,468,26875,468,27570,202,2563,228,1559
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98012,,"24,958","11,740","10,289","52,336","16,406","1,805,232","21,837","1,469,622","13,494","23,659","7,242","16,292","6,326","10,600","3,503","55,370",26,"4,937","33,517","1,661","27,535","3,786","75,170","2,386","24,261","2,276","29,037",173,"2,913","12,187","309,445",369,"2,098","9,793","20,794","11,528","46,407","12,087","73,354","11,060","172,109","9,674","29,707","21,309","1,234,801","9,203","12,335","1,030",940,"5,018","6,789","1,234",666,"1,724","2,337","1,960","3,451","1,583","2,822",443,"1,233","19,901","208,385","20,807","218,413","4,569","18,632","19,178","61,591"
98012,"$1 under $25,000",6228,797,2358,7545,1658,73193,4720,54218,2037,2442,940,1814,793,976,776,5472,**,644,-718,314,1839,725,6657,464,4037,223,433,**,**,773,15640,**,**,593,469,631,2190,734,2786,519,6330,479,737,2981,18718,775,331,**,**,145,60,24,10,732,904,1298,2467,1090,2062,0,0,2503,1681,3071,2665,725,386,4809,7621
98012,"$25,000 under $50,000",5294,1377,2086,9529,2628,195569,4596,158244,2079,3020,863,1692,714,941,607,7227,**,598,106,348,3564,765,12514,680,7422,650,4363,**,**,1563,30758,65,91,1225,1415,1412,4802,1538,6609,1309,15952,1056,2163,4946,104962,1801,1593,107,77,958,933,186,97,690,1026,662,984,493,760,**,**,4336,11845,4565,13286,745,1088,4422,10625
98012,"$50,000 under $75,000",4101,1877,1788,8818,2765,254797,3700,212748,2318,3718,1081,2154,927,1233,606,5947,26,706,657,308,4561,674,13567,428,4435,519,7263,43,369,2306,48429,63,161,1798,2668,2158,7523,2288,10913,2076,27544,1699,3601,4062,158533,1831,2616,181,145,1213,1815,186,98,236,324,0,0,0,0,23,47,3822,20666,3906,21965,701,1446,3311,11504
98012,"$75,000 under $100,000",3302,2358,1399,8583,2879,287068,3082,244917,2269,2751,1237,2035,1074,1267,542,6772,**,795,212,293,5346,609,13875,331,3528,387,7147,**,**,2389,57182,63,208,1925,3679,2287,8737,2379,13312,2238,33252,1928,4835,3293,189191,1777,3069,241,212,1243,2080,227,126,66,83,0,0,0,0,**,**,3227,25400,3250,26718,584,1591,2645,10468
98012,"$100,000 under $200,000",5141,4514,2118,15060,5385,689055,4911,604557,3981,6234,2542,5167,2292,3525,796,17309,**,1685,2421,339,8918,865,22607,435,4322,426,8397,82,1111,4350,123715,129,616,3585,9348,4246,18411,4343,30184,4176,73202,3766,12650,5136,501619,2637,3720,417,415,1459,1901,512,283,**,**,0,0,0,0,83,120,5122,85173,5125,88390,1381,5392,3622,17676
98012,"$200,000 or more",892,817,540,2801,1091,305550,828,194938,810,5494,579,3430,526,2658,176,12643,**,509,30839,59,3307,148,5950,48,517,71,1434,48,1433,806,33721,49,1022,667,3215,794,4744,805,9550,742,15829,746,5721,891,261778,382,1006,84,91,0,0,99,52,0,0,0,0,0,0,337,1066,891,63620,890,65389,433,8729,369,3697
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98014,,"3,307","1,657","1,557","7,001","2,197","264,647","2,844","207,486","1,774","4,235","1,076","4,470",951,"3,189",572,"9,044",52,792,"6,483",232,"4,412",488,"10,384",386,"4,017",290,"3,729",32,717,"1,689","48,958",27,189,"1,363","3,349","1,621","8,593","1,683","12,817","1,499","25,193","1,375","4,456","2,737","182,920","1,137","1,451",184,269,523,691,99,54,257,383,270,466,215,352,116,432,"2,528","34,380","2,700","36,144",622,"2,398","2,502","8,681"
98014,"$1 under $25,000",976,141,396,1179,268,11190,745,8355,309,369,137,261,117,156,124,880,27,107,-31,54,414,106,1014,78,752,31,60,**,**,116,2234,**,**,92,71,97,415,114,499,77,1026,73,91,468,2746,100,36,23,15,24,9,**,**,117,156,189,327,159,265,**,**,396,254,499,423,142,84,751,1347
98014,"$25,000 under $50,000",611,183,294,1191,363,22115,518,17219,246,362,139,333,110,208,97,1356,**,82,264,41,539,78,1371,95,1042,66,439,**,**,200,4156,**,**,159,176,184,754,198,968,163,1976,145,235,560,11147,208,171,**,**,105,100,**,**,97,175,81,139,56,87,0,0,475,1219,520,1485,78,111,515,1355
98014,"$50,000 under $75,000",452,266,227,1019,293,28160,395,21775,265,405,141,345,117,245,88,873,**,102,8,46,593,85,2123,82,928,85,1150,**,**,281,6056,27,189,222,356,267,1133,280,1604,240,3022,207,387,448,16821,195,260,32,34,114,159,36,19,43,52,0,0,0,0,**,**,417,2096,429,2294,77,165,359,1345
98014,"$75,000 under $100,000",386,279,186,988,322,33450,361,27881,253,397,158,297,139,180,82,1038,**,99,139,29,472,75,1659,40,417,43,885,**,**,299,7961,**,**,236,449,292,1430,298,1992,282,4527,247,552,384,21036,198,301,36,30,120,198,**,**,**,**,0,0,0,0,**,**,370,2833,378,3022,73,260,301,1121
98014,"$100,000 under $200,000",683,605,323,2001,710,94948,646,80757,529,961,360,1283,336,880,137,2644,25,278,1035,62,2394,110,2845,91,878,65,1195,32,717,603,19153,**,**,490,1322,592,3249,603,4961,566,10404,529,1616,678,67846,350,521,66,112,160,225,63,35,**,**,0,0,0,0,33,43,672,11563,676,12102,164,708,488,2493
98014,"$200,000 or more",199,183,131,623,241,74784,179,51499,172,1741,141,1951,132,1520,44,2253,**,124,5068,**,**,34,1372,**,**,**,**,**,**,190,9398,**,**,164,975,189,1612,190,2793,171,4238,174,1575,199,63324,86,162,27,78,0,0,**,**,0,0,0,0,0,0,83,389,198,16415,198,16818,88,1070,88,1020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98019,,"4,839","2,621","2,082","11,065","3,727","404,974","4,316","338,535","2,723","4,301","1,662","3,537","1,490","2,329",835,"10,132",47,"1,216","7,064",299,"5,454",687,"12,965",521,"5,393",404,"4,891",27,433,"2,734","73,200",53,320,"2,087","4,878","2,610","12,425","2,710","18,734","2,529","41,373","2,212","6,712","4,108","280,865","1,835","2,887",264,251,"1,002","1,420",219,115,335,472,339,587,273,463,142,378,"3,868","49,838","4,074","52,062",939,"5,301","3,690","12,738"
98019,"$1 under $25,000",1175,156,455,1402,317,13310,894,9585,395,544,175,408,151,199,172,1076,24,130,-74,54,295,119,977,102,990,38,46,**,**,161,3343,**,**,109,77,129,565,154,690,107,1254,92,149,532,3161,111,38,**,**,26,11,**,**,146,195,238,421,193,336,0,0,466,304,595,510,150,88,891,1209
98019,"$25,000 under $50,000",874,253,402,1664,435,31935,765,25340,365,586,169,336,146,189,132,1274,**,116,40,51,634,132,2075,124,1349,118,791,**,**,297,5829,25,48,209,240,276,1105,294,1424,257,2922,195,305,796,16185,286,232,25,19,159,151,36,17,139,210,101,166,80,127,0,0,677,1802,725,2072,145,204,718,1843
98019,"$50,000 under $75,000",643,357,316,1453,447,40375,570,32021,381,543,188,362,170,227,119,2063,**,122,53,69,1026,105,2391,109,1116,93,1255,**,**,417,9050,**,**,308,451,397,1740,412,2344,384,5210,314,621,636,23915,273,385,32,26,164,251,**,**,50,67,0,0,0,0,**,**,597,3007,620,3403,119,242,510,1824
98019,"$75,000 under $100,000",600,457,242,1612,550,52558,571,45569,401,381,222,204,188,153,117,1024,23,144,182,37,724,90,2009,86,1018,67,1219,27,433,462,11638,**,**,360,755,449,1878,462,2795,442,6796,377,900,597,33503,320,577,45,31,242,424,36,17,**,**,0,0,0,0,26,36,583,4347,590,4634,110,230,479,1899
98019,"$100,000 under $200,000",1266,1140,494,4010,1593,172828,1244,158365,938,960,711,824,648,595,237,2058,**,533,562,88,2775,201,4290,100,920,88,1580,**,**,1127,32076,28,272,891,2388,1097,5312,1118,8243,1089,19446,987,3129,1266,124557,725,1006,138,146,411,583,115,64,**,**,0,0,0,0,**,**,1265,21052,1264,21589,299,979,950,4585
98019,"$200,000 or more",281,258,173,924,385,93968,272,67655,243,1287,197,1403,187,966,58,2637,**,171,6301,**,**,40,1223,**,**,**,**,**,**,270,11264,**,**,210,967,262,1825,270,3238,250,5745,247,1608,281,79544,120,649,24,29,0,0,32,17,0,0,0,0,0,0,116,342,280,19326,280,19854,116,3558,142,1378
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98020,,"10,106","4,548","5,223","18,311","4,168","860,996","7,139","502,753","6,679","29,363","4,647","38,538","4,120","29,566","1,717","43,798",20,"3,502","35,552","1,366","25,493","2,799","67,664",650,"6,739","2,403","33,579",158,"2,857","5,133","154,538",151,"1,050","4,113","10,243","4,799","26,504","5,105","40,363","3,892","64,298","4,439","22,169","8,366","617,446","3,302","4,029",505,535,"1,026","1,344",313,158,324,417,523,707,391,553,447,"1,942","7,883","119,624","8,251","126,375","2,261","12,134","6,648","24,931"
98020,"$1 under $25,000",2886,392,1238,3036,303,33233,1668,18124,1408,2803,967,2426,844,1269,367,2201,20,695,-767,295,1901,676,6187,153,1330,276,540,**,**,566,11937,**,**,435,436,451,2094,556,2699,277,3356,407,770,1353,8105,296,94,**,**,41,16,**,**,135,152,380,502,295,409,0,0,1140,758,1377,1223,437,260,1889,2617
98020,"$25,000 under $50,000",1992,518,961,2993,467,73284,1378,44375,1122,3007,710,2782,617,1651,285,3710,**,525,-404,285,3008,572,10858,180,2062,615,4506,31,224,717,15191,51,112,573,695,645,2731,711,3618,473,5608,575,1314,1845,39343,589,418,66,55,174,168,44,23,119,164,143,205,96,144,**,**,1690,4490,1764,5216,375,545,1505,3364
98020,"$50,000 under $75,000",1523,652,789,2757,577,94025,1069,56552,1024,3855,681,3233,605,2006,260,3813,**,493,106,249,3869,512,13087,120,1227,529,7924,**,**,860,20085,**,**,689,1112,790,3410,857,4820,629,8069,729,1992,1481,58487,561,626,83,90,237,341,43,18,70,101,0,0,0,0,**,**,1414,7854,1446,8507,349,777,1058,3414
98020,"$75,000 under $100,000",1149,773,645,2519,593,99740,882,63099,898,3495,604,3674,526,2562,189,3342,**,444,732,233,5181,371,10543,60,601,382,7897,22,201,781,19504,22,80,628,1187,742,3509,776,5130,624,8473,665,2160,1139,67327,545,675,90,83,257,399,38,18,**,**,0,0,0,0,**,**,1112,9368,1123,10160,266,793,775,3221
98020,"$100,000 under $200,000",1845,1580,1033,4929,1496,251971,1551,173163,1552,6436,1103,6581,989,4776,431,13901,**,831,4084,238,7923,519,19530,111,1251,451,9083,48,745,1546,49679,48,370,1255,3575,1517,8331,1543,13199,1358,24550,1427,6434,1839,181133,949,1168,203,212,317,420,140,68,**,**,0,0,0,0,81,174,1820,30680,1833,32970,570,2956,1122,6668
98020,"$200,000 or more",711,633,557,2077,732,308743,591,147440,675,9767,582,19842,539,17302,185,16831,**,514,31801,66,3611,149,7459,26,268,150,3629,57,1687,663,38142,30,488,533,3238,654,6429,662,10897,531,14242,636,9499,709,263051,362,1048,63,95,0,0,48,31,0,0,0,0,0,0,366,1768,707,66474,708,68299,264,6803,299,5647
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98021,,"12,414","6,159","4,761","26,038","8,047","909,618","10,752","761,503","6,903","11,761","3,859","7,720","3,391","4,689","1,870","24,382",0,"2,687","7,767",886,"13,396","2,084","37,147","1,168","11,756","1,219","14,109",83,941,"5,959","154,860",150,"1,352","4,797","10,620","5,653","22,037","5,919","35,983","5,377","85,069","4,797","16,916","10,539","622,968","4,551","5,896",633,594,"2,330","3,131",645,341,684,872,749,"1,216",589,977,251,539,"9,914","105,611","10,322","110,366","2,493","8,210","9,265","29,778"
98021,"$1 under $25,000",3272,443,1070,3666,635,37960,2391,26670,1158,1501,546,960,466,470,352,2061,0,387,-265,217,1393,498,4412,249,2241,172,251,**,**,421,8246,23,23,302,275,349,1137,407,1512,276,3332,270,468,1557,9562,364,155,**,**,67,28,**,**,291,341,522,874,430,730,0,0,1333,868,1575,1305,428,217,2434,3361
98021,"$25,000 under $50,000",2401,634,937,4028,946,88607,2032,69636,1006,1512,443,1172,372,642,347,3132,0,321,6,188,1918,431,6904,322,3473,368,2354,**,**,714,13918,**,**,563,611,666,2162,703,2930,590,7207,486,932,2267,48598,769,670,65,46,356,338,77,40,257,349,227,342,159,247,**,**,2009,5550,2118,6263,386,540,1950,4904
98021,"$50,000 under $75,000",1925,972,836,4170,1245,119402,1713,96120,1104,1782,540,1156,466,729,340,4003,0,355,29,158,2121,377,7846,211,2199,314,4559,33,268,1002,21593,24,54,786,1193,927,3137,991,4656,884,11831,772,1910,1908,74429,805,1127,111,98,530,784,78,43,100,134,0,0,0,0,**,**,1798,9627,1839,10431,382,737,1474,4782
98021,"$75,000 under $100,000",1610,1181,608,4224,1422,140047,1504,119893,1056,1361,579,1083,485,590,271,4210,0,375,-34,129,2484,285,6725,156,1589,184,3324,**,**,1093,25801,20,71,892,1706,1042,3682,1092,5794,1024,14692,906,2491,1604,93372,888,1473,159,133,588,967,103,51,36,48,0,0,0,0,**,**,1580,12573,1593,13365,315,934,1266,5293
98021,"$100,000 under $200,000",2703,2465,1040,8339,3157,367551,2630,331498,2125,3027,1400,2131,1274,1467,462,7642,0,951,2089,171,4004,420,8291,202,2026,154,3071,50,673,2273,64909,49,315,1892,5166,2219,9338,2270,15671,2176,38676,1950,6679,2700,267245,1516,2060,260,268,789,1014,316,170,**,**,0,0,0,0,58,73,2691,45055,2694,46513,728,2801,1928,9128
98021,"$200,000 or more",503,464,270,1611,642,156051,482,117686,454,2578,351,1218,328,791,98,3334,0,298,5942,23,1476,73,2969,28,228,27,550,**,**,456,20393,34,889,362,1669,450,2581,456,5420,427,9331,413,4436,503,129762,209,411,38,49,0,0,71,37,0,0,0,0,0,0,193,466,503,31938,503,32489,254,2981,213,2310
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98022,,"10,062","4,552","5,423","20,538","6,068","601,429","8,341","453,098","4,962","10,578","2,602","6,272","2,273","4,114","1,319","18,858",279,"1,629","10,268",833,"12,020","2,170","47,207","1,053","9,877","1,411","16,369",52,556,"4,225","101,783",55,444,"3,450","6,986","4,000","15,961","4,193","24,835","3,714","51,758","3,306","10,080","8,242","391,492","3,375","4,101",609,526,"1,816","2,433",257,138,930,"1,337","1,005","1,812",831,"1,556",134,462,"7,540","62,730","7,901","66,399","1,732","5,871","7,733","22,630"
98022,"$1 under $25,000",3260,481,1461,4269,943,40539,2455,28583,1035,1589,530,893,464,445,309,2013,33,342,259,207,1096,560,5572,264,2120,176,277,25,98,375,7383,**,**,301,246,321,1119,367,1427,255,2736,256,435,1587,9801,355,133,**,**,126,46,**,**,473,587,675,1328,582,1169,**,**,1339,916,1580,1312,346,175,2569,4023
