adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$10,000 under $25,000",602,891,191,10429,470,7837,208,294,99,174,75,26,90,910,0,0,*,*,*,*,117,2119,1935,89,1618,134,116,2092,424,0,0,478,439,462,537,96,209,285
"$25,000 under $50,000",817,1590,486,30233,735,25084,326,444,184,470,153,143,138,1400,*,*,48,193,*,*,316,12387,5390,239,9444,452,307,12036,1284,0,0,782,2168,723,2189,60,56,371
"$50,000 under $75,000",720,1765,617,44901,667,38409,447,548,250,342,184,222,140,1983,11,-82,28,111,13,91,534,33494,10176,429,27008,833,525,32924,2499,*,*,713,4031,687,3873,0,0,366
"$75,000 under $100,000",684,1915,669,59634,667,53932,489,417,313,357,221,716,161,1519,12,-297,23,106,*,*,579,50655,12463,503,44046,1156,574,50244,3308,*,*,684,6082,683,5766,0,0,285
"$100,000 or more     ",1187,3746,1468,205153,1151,164735,985,1365,718,2039,659,16081,220,3911,*,*,56,247,21,289,1129,192172,31114,1011,174994,3651,1124,191473,9175,103,308,1187,34477,1187,34355,0,0,559
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98020,9956,18541,4168,930424,6949,441480,6801,33584,4969,42244,4355,133858,1686,47324,15,-27,350,1559,239,4279,5008,719983,129108,4509,686562,24479,5023,710860,36641,416,1594,8401,153925,8367,157908,386,482,5461
"Under $10,000        ",1499,1744,111,-1829,892,5250,673,1091,538,900,482,426,195,384,*,*,*,*,*,*,123,692,2112,85,480,84,177,-6397,784,0,0,394,72,509,232,178,123,708
"$10,000 under $25,000",1578,2086,242,27047,922,14821,849,1652,566,1433,476,339,181,1669,0,0,30,99,*,*,379,6733,6225,293,5289,522,371,6606,1300,0,0,1252,1053,1208,1268,133,300,794
"$25,000 under $50,000",2078,3234,604,76480,1490,49454,1201,2883,791,2723,642,1251,309,3553,0,0,84,301,21,103,812,30914,14296,684,26191,1464,796,30306,3402,*,*,1983,5828,1911,6094,75,59,1045
"$50,000 under $75,000",1404,2719,623,86734,1037,54488,1063,3041,739,2881,615,2440,222,3204,*,*,63,245,26,219,868,54203,16884,770,48010,1834,863,53920,4725,0,0,1385,8541,1361,8575,0,0,758
"$75,000 under $100,000",1077,2529,648,93151,799,56963,888,3334,607,3095,516,3327,229,4557,*,*,53,227,32,336,820,71089,18436,755,65539,2540,815,70673,5047,*,*,1071,9752,1064,9965,0,0,585
"$100,000 or more     ",2320,6229,1940,648841,1809,260504,2127,21583,1728,31212,1624,126075,550,33957,15,-27,120,687,160,3621,2006,556352,71155,1922,541053,18035,2001,555752,21383,416,1594,2316,128679,2314,131774,0,0,1571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98021,10874,22935,6857,704387,9461,563111,5961,9748,3541,7984,3001,32335,1639,22299,11,-16,347,1304,107,1260,5145,498009,107935,4490,452077,13873,5113,493131,28044,188,736,9327,91117,9197,90846,517,723,4575
"Under $10,000        ",1638,1914,161,5662,1243,6822,548,366,337,312,309,-46,170,151,0,0,*,*,*,*,85,496,1203,50,288,57,117,-460,359,0,0,489,87,586,201,191,154,565
"$10,000 under $25,000",1657,2358,394,28549,1267,20751,603,819,317,627,259,277,198,1549,11,-16,39,128,*,*,269,4935,4088,197,3680,373,259,4752,797,*,*,1347,1230,1301,1414,201,455,670
"$25,000 under $50,000",2284,3954,986,84502,1991,69261,969,1365,474,1026,424,520,293,2806,*,*,70,238,14,59,773,30011,13062,619,24121,1154,759,29463,2847,0,0,2211,6617,2079,6551,125,114,946
"$50,000 under $75,000",1798,4223,1402,111244,1627,91761,1069,1380,584,1219,447,1285,314,2651,0,0,81,296,16,107,1129,70809,20746,973,61196,2142,1110,69716,4945,16,16,1784,10591,1743,10076,0,0,821
"$75,000 under $100,000",1454,4100,1452,125944,1383,110103,1047,1387,639,1140,484,1699,260,3928,*,*,65,242,15,98,1123,97536,22497,1001,87106,2458,1112,96618,5677,*,*,1453,13335,1445,12649,0,0,607
"$100,000 or more     ",2043,6386,2462,348486,1950,264413,1725,4431,1190,3660,1078,28600,404,11214,*,*,92,400,62,996,1766,294222,46339,1650,275686,7689,1756,293042,13419,172,720,2043,59257,2043,59955,0,0,966
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98022,9633,20502,6338,538892,8026,394985,4993,10235,2728,7541,2265,34494,1391,20026,288,-4601,217,814,87,1056,4310,376820,90431,3648,336455,11183,4303,370781,23318,139,363,8007,62322,7741,62475,799,1236,5534
"Under $10,000        ",1459,1804,232,1016,1120,5754,465,723,239,332,215,487,161,-207,31,-717,*,*,0,0,79,424,1212,49,289,67,119,-3333,430,0,0,360,62,463,181,283,264,663
"$10,000 under $25,000",1808,2875,684,31078,1338,21659,667,1142,350,676,261,257,189,1703,24,-428,22,60,*,*,292,5307,4694,224,4080,321,280,5127,965,0,0,1379,1131,1291,1327,335,797,1006
"$25,000 under $50,000",2281,4505,1434,83443,1927,65275,967,1529,485,1038,383,1070,296,2867,48,-631,72,224,16,68,831,32015,14642,633,24556,1190,811,31285,3028,0,0,2195,5949,1977,5877,181,175,1311
"$50,000 under $75,000",1680,4290,1507,104903,1474,83859,1003,1606,518,897,412,1644,282,2963,63,-710,48,174,17,118,1082,68421,19389,889,56269,1796,1073,67842,4785,*,*,1671,9559,1616,9022,0,0,1012
"$75,000 under $100,000",1091,3148,1114,94622,1005,77826,759,1132,420,805,340,2107,190,2178,32,-379,33,145,*,*,858,74648,17045,758,66023,1700,855,74365,4517,*,*,1088,9741,1082,9282,0,0,645
"$100,000 or more     ",1314,3880,1367,223830,1162,140612,1132,4103,716,3793,654,28929,273,10522,90,-1736,42,211,54,870,1168,196005,33449,1095,185238,6109,1165,195495,9593,139,363,1314,35880,1312,36786,0,0,897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98023,20059,43638,15023,1180357,17749,857767,8871,13110,4611,13767,3853,61995,2674,36446,16,-141,459,1667,142,2037,8460,824269,168607,7253,674148,21482,8424,816678,43388,322,831,16561,143665,15770,142378,2546,4578,10064
"Under $10,000        ",3058,4175,872,9139,2489,13970,743,488,385,302,356,-48,351,342,*,*,*,*,0,0,132,788,1931,84,506,109,180,-2843,603,0,0,738,120,991,387,809,1010,1379
"$10,000 under $25,000",4010,7066,2342,69283,3371,56651,988,1028,412,698,345,463,477,3286,0,0,52,147,*,*,567,10372,8607,389,7129,762,553,10108,1760,*,*,3035,2581,2739,2867,1147,2954,2106
"$25,000 under $50,000",5173,11030,4167,188174,4695,162485,1783,1833,733,1192,610,923,599,6036,0,0,128,379,19,88,1847,71168,28626,1455,56403,2778,1808,69662,6272,*,*,4989,13331,4357,12386,590,614,2661
"$50,000 under $75,000",3218,8060,2906,198863,2932,166554,1786,1953,852,1308,665,1641,478,5931,*,*,109,396,13,118,2116,132218,37626,1809,113479,3855,2096,130969,9311,20,19,3200,18514,3094,17398,0,0,1649
"$75,000 under $100,000",2090,5939,2144,180318,1940,151927,1433,1751,806,1570,623,1998,305,3747,0,0,69,261,18,141,1658,143353,32659,1493,129271,3988,1648,142531,8521,19,19,2089,19008,2082,18002,0,0,973
"$100,000 or more     ",2510,7368,2592,534580,2322,306180,2138,6057,1423,8697,1254,57018,464,17104,16,-141,101,484,92,1690,2140,466370,59158,2023,367360,9990,2139,466251,16921,283,793,2510,90111,2507,91338,0,0,1296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98024,2515,5376,1609,221845,2085,156285,1563,5905,1011,4509,900,17098,442,9145,20,-221,75,330,58,872,1316,184842,37254,1150,171376,4313,1319,180342,11670,139,534,2127,36183,2119,36817,135,191,1328
"Under $10,000        ",385,464,42,-2761,268,1802,154,178,83,70,74,-20,48,-199,0,0,0,0,0,0,23,141,442,17,106,19,35,-3810,206,0,0,112,21,137,44,51,38,179
"$10,000 under $25,000",380,555,103,6528,286,4702,134,191,78,214,58,50,66,485,*,*,*,*,*,*,73,1276,1254,54,960,66,72,1260,295,0,0,301,269,297,326,52,121,178
"$25,000 under $50,000",497,853,221,18154,414,14221,234,256,123,290,107,446,74,905,*,*,17,43,0,0,188,7219,3355,143,5514,259,184,7048,835,0,0,473,1381,452,1430,32,32,230
"$50,000 under $75,000",312,715,219,19204,269,14645,221,314,111,289,84,360,57,891,*,*,14,59,*,*,196,12201,4158,162,10022,327,194,12077,1164,0,0,303,1746,303,1752,0,0,164
"$75,000 under $100,000",270,720,240,23354,246,18156,213,416,138,491,118,415,54,901,*,*,14,66,*,*,207,17969,4782,183,15967,502,207,17969,1402,0,0,268,2409,264,2378,0,0,150
"$100,000 or more     ",671,2069,784,157366,602,102759,607,4550,478,3155,459,15847,143,6162,20,-221,30,162,58,872,629,146036,23263,591,138807,3140,627,145798,7768,139,534,670,30357,666,30887,0,0,427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98025,336,644,152,21717,282,15576,200,445,129,583,104,1682,63,335,*,*,*,*,*,*,157,15012,3616,134,13251,369,160,14941,1019,*,*,281,2798,283,2851,25,46,175
"Under $10,000        ",51,63,5,208,34,211,20,20,10,5,20,-10,20,15,0,0,0,0,0,0,*,*,*,10,164,10,*,*,*,0,0,12,3,17,9,11,12,26
"$10,000 under $25,000",62,90,18,1038,48,702,26,26,12,7,*,*,*,*,0,0,0,0,0,0,14,229,292,*,*,*,18,218,78,0,0,49,39,49,47,14,34,27
"$25,000 under $50,000",62,97,16,2213,50,1760,28,32,21,33,16,23,*,*,*,*,0,0,0,0,25,985,479,22,866,24,25,985,126,0,0,61,155,57,151,*,*,25
"$50,000 under $75,000",69,165,56,4265,64,3614,46,46,28,66,22,7,19,132,0,0,*,*,0,0,44,2754,976,37,2306,105,43,2694,262,0,0,67,382,68,389,0,0,39
"$75,000 under $100,000",35,93,30,3024,32,2227,26,35,18,14,12,38,11,27,0,0,*,*,0,0,24,2111,472,19,1661,48,24,2111,135,0,0,35,324,35,311,0,0,20
"$100,000 or more     ",57,136,27,10969,54,7062,54,286,40,458,34,1624,13,161,*,*,0,0,*,*,50,8933,1397,46,8254,182,50,8933,418,*,*,57,1895,57,1944,0,0,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98026,16913,33465,9403,1031740,14173,720365,9287,18828,5578,21688,4640,70419,2712,50148,25,-63,595,2248,254,3507,7599,716775,176651,6549,652288,19169,7591,708616,43102,332,1223,14333,135547,14078,137827,1273,1883,7924
"Under $10,000        ",2534,3106,355,2531,1899,11086,888,816,517,566,437,93,314,470,*,*,*,*,*,*,159,901,2435,107,623,95,214,-4052,732,0,0,703,118,922,353,484,422,982
"$10,000 under $25,000",3034,4525,970,52139,2297,37940,1097,1657,618,1226,479,646,408,3373,0,0,71,176,15,54,514,9114,8317,380,6852,607,500,8878,1603,*,*,2416,2152,2280,2524,528,1210,1418
"$25,000 under $50,000",4183,7261,1922,153137,3616,122842,1878,2669,985,2021,832,1267,555,6272,13,-28,157,516,24,175,1485,57226,22790,1180,45632,2070,1460,56289,5528,0,0,4071,11909,3805,11841,261,251,1892
"$50,000 under $75,000",2782,6220,1915,171597,2434,135032,1812,2413,1028,2652,808,1813,476,7228,*,*,138,540,33,215,1800,112292,32187,1526,95474,3065,1788,111518,8082,*,*,2770,16479,2707,16143,0,0,1332
"$75,000 under $100,000",1864,5079,1703,161492,1699,130094,1414,2031,844,1870,666,2968,384,6700,*,*,100,375,31,369,1488,129273,30226,1338,116360,3436,1479,128503,7955,21,22,1860,16898,1853,16593,0,0,862
"$100,000 or more     ",2516,7274,2538,490844,2228,283371,2198,9242,1586,13353,1418,63632,575,26105,12,-35,129,641,151,2694,2153,407969,80696,2018,387347,9896,2150,407480,19202,311,1201,2513,87991,2511,90373,0,0,1438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98027,12632,25395,7047,1149398,10715,796319,7868,23836,5493,23422,4818,95537,2188,46616,36,-224,439,1671,288,4729,6458,899857,166817,5709,831703,24504,6468,886097,48124,546,1664,10854,190661,10825,193228,598,771,5648
"Under $10,000        ",1898,2266,219,-4272,1357,8358,727,710,557,904,490,206,213,-166,*,*,13,34,*,*,96,517,1669,63,356,51,161,-9211,721,0,0,545,97,681,271,270,208,707
"$10,000 under $25,000",1698,2376,438,29463,1314,22186,678,1135,379,739,300,346,241,1648,13,-14,31,89,*,*,300,5446,5644,216,3921,346,291,5280,1122,0,0,1384,1304,1316,1525,219,464,723
"$25,000 under $50,000",2420,3828,859,89763,2084,72375,1116,1565,650,1336,521,474,317,3368,*,*,94,290,23,110,800,30977,13069,625,24308,1126,783,30318,3191,*,*,2335,7431,2267,7557,109,99,954
"$50,000 under $75,000",1687,3269,835,104378,1473,81111,1110,1844,691,1786,563,1913,297,4659,*,*,91,308,33,275,1032,64694,19324,880,55260,1917,1022,64058,5055,*,*,1669,10718,1646,10836,0,0,790
"$75,000 under $100,000",1417,3393,993,123458,1254,96055,1106,2177,738,2024,638,2784,307,5671,*,*,60,241,36,423,1097,95924,23630,991,86716,2600,1088,95135,6629,22,36,1413,13776,1411,13913,0,0,618
"$100,000 or more     ",3512,10263,3703,806608,3233,516234,3131,16405,2478,16633,2306,89814,813,31436,23,-210,150,709,196,3921,3133,702299,103481,2934,661142,18464,3123,700517,31406,524,1628,3508,157335,3504,159126,0,0,1856
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98028,9422,18991,5398,679112,7931,461788,5387,12637,3490,12669,2994,66422,1609,28718,11,9,323,1202,160,2408,4446,505584,99240,3859,463674,13769,4435,502443,29057,264,797,7946,96563,7849,97857,612,890,4041
"Under $10,000        ",1457,1710,147,5256,1063,5689,497,418,356,324,285,33,174,-56,0,0,*,*,*,*,68,388,1070,42,238,51,97,-504,366,0,0,417,75,520,184,263,202,499
"$10,000 under $25,000",1564,2336,519,26968,1220,20213,539,803,302,539,255,245,209,1668,0,0,30,87,*,*,262,4616,4357,200,3526,300,253,4477,988,0,0,1218,1125,1163,1321,237,584,631
"$25,000 under $50,000",2019,3507,946,73805,1736,59271,897,1329,473,1224,414,818,273,3183,11,9,69,211,18,86,682,26223,11486,535,20624,892,670,25800,2909,0,0,1939,5703,1822,5737,112,104,830
"$50,000 under $75,000",1345,2898,836,83257,1169,65038,909,1386,548,1533,440,1666,250,3611,*,*,54,183,18,179,869,54314,16201,737,46087,1693,862,53902,4365,0,0,1338,8016,1317,7978,0,0,605
"$75,000 under $100,000",1142,2963,950,98644,1033,79061,872,1638,591,1405,477,1966,244,4844,0,0,81,307,27,268,890,77151,18544,783,67817,1931,883,76527,5341,*,*,1140,10517,1134,10399,0,0,477
"$100,000 or more     ",1895,5577,2000,391182,1710,232516,1673,7063,1220,7644,1123,61694,459,15468,*,*,89,414,97,1875,1675,342892,47582,1562,325382,8902,1670,342241,15088,264,797,1894,71127,1893,72238,0,0,999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98029,9206,19689,5896,777642,7554,609757,6207,14324,4458,17636,3970,43986,1318,25080,11,-35,297,1224,142,2286,5300,609615,118501,4614,550656,14832,5251,599845,31852,292,963,8106,115645,8039,115747,282,396,3794
"Under $10,000        ",1157,1376,118,-1467,788,4553,479,786,376,890,310,48,121,-325,0,0,*,*,0,0,84,492,1214,60,342,53,104,-4723,337,0,0,339,66,400,129,114,104,400
"$10,000 under $25,000",960,1351,217,16604,640,10846,472,996,307,861,261,157,105,896,0,0,20,62,*,*,236,4167,3854,176,3140,316,229,4050,733,0,0,752,675,718,766,105,225,434
"$25,000 under $50,000",1590,2635,600,59812,1222,43270,866,1714,523,1885,452,896,212,2546,11,-35,55,201,20,106,702,27359,11394,565,22159,1148,682,26588,2444,*,*,1529,4541,1459,4536,63,67,646
"$50,000 under $75,000",1457,2957,864,90577,1219,69968,981,2045,680,2418,553,1498,206,2344,0,0,55,250,16,112,914,57253,16550,791,49646,1900,896,56145,3889,11,10,1445,9257,1427,9007,0,0,628
"$75,000 under $100,000",1303,3245,1049,113643,1154,94047,1001,1851,695,1902,619,2137,196,2169,*,*,53,207,14,128,956,83668,19791,821,71778,2049,944,82566,4842,*,*,1302,12841,1297,12246,0,0,484
"$100,000 or more     ",2739,8125,3048,498473,2531,387073,2408,6932,1877,9680,1775,39250,478,17450,*,*,114,504,92,1940,2408,436676,65698,2201,403591,9366,2396,435219,19607,281,953,2739,88265,2738,89063,0,0,1202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98030,12955,27944,10357,552441,11701,460255,4524,5418,2048,3811,1672,16821,1671,18016,16,-64,210,708,42,400,4395,323675,80141,3669,286122,8978,4345,320416,20229,81,185,10341,55015,9659,53528,2439,4615,6883
"Under $10,000        ",2123,3147,819,9639,1765,9372,375,236,148,125,143,-61,280,456,0,0,*,*,*,*,60,357,989,39,228,50,76,50,211,0,0,452,69,668,271,760,944,1044
"$10,000 under $25,000",3221,6209,2446,56004,2824,47417,558,536,216,322,163,40,390,3700,0,0,24,75,0,0,318,5916,4464,191,3592,299,304,5667,838,0,0,2401,1970,2069,2233,1168,3112,1886
"$25,000 under $50,000",3725,7999,3199,133319,3461,118637,1074,888,381,516,310,320,421,4615,*,*,71,204,*,*,1143,43771,17401,875,33823,1579,1115,42779,3835,0,0,3608,9585,3120,8875,511,559,2022
"$50,000 under $75,000",1847,4626,1709,113847,1723,98790,989,919,449,718,322,662,272,2849,*,*,45,163,19,82,1175,73355,20143,1022,63839,2002,1158,72337,4896,*,*,1841,10840,1767,9994,0,0,957
"$75,000 under $100,000",1072,3114,1170,92807,1022,81417,731,636,365,439,289,1456,144,1640,16,-64,29,99,*,*,874,75944,16955,768,66874,1725,870,75597,4377,16,13,1072,9770,1069,9156,0,0,483
"$100,000 or more     ",967,2849,1014,146825,906,104622,797,2203,489,1691,445,14404,164,4756,*,*,41,167,23,318,825,124332,20189,774,117766,3323,822,123986,6072,65,172,967,22781,966,22999,0,0,491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98031,15841,34394,12026,763147,14070,633502,7022,9062,3359,5714,2674,21272,2149,19431,*,*,310,1116,56,550,6159,483189,113774,5203,432358,13956,6102,478650,29966,125,243,12992,81945,12394,79824,2273,4108,7754
"Under $10,000        ",2417,3324,699,9924,1908,10545,608,347,254,171,244,75,343,119,*,*,*,*,0,0,90,595,1277,49,308,66,105,-654,323,0,0,561,93,823,302,705,793,1091
"$10,000 under $25,000",3447,6286,2171,59947,2927,49084,852,778,302,388,246,98,428,3772,0,0,28,73,0,0,401,7376,6155,248,4637,428,388,7174,1216,0,0,2614,2208,2331,2515,1062,2804,1815
"$25,000 under $50,000",4301,9048,3373,156153,3896,133780,1545,1633,637,950,489,609,519,5034,*,*,99,311,11,49,1465,56308,22142,1114,43151,1779,1435,55137,5324,0,0,4150,11206,3657,10476,506,511,2206
"$50,000 under $75,000",2382,6044,2203,145952,2208,125269,1399,1622,672,1082,475,877,344,2722,*,*,67,225,*,*,1466,90863,25293,1254,77854,2660,1444,89530,6358,*,*,2373,13675,2299,12540,0,0,1178
"$75,000 under $100,000",1646,4733,1737,142437,1577,125620,1209,965,605,738,461,1171,248,2685,0,0,52,204,13,84,1304,113305,25404,1188,103341,3234,1297,112721,6937,18,21,1646,15094,1636,14161,0,0,709
"$100,000 or more     ",1648,4959,1843,248734,1554,189204,1409,3717,889,2385,759,18442,267,5099,*,*,64,303,32,417,1433,214742,33503,1350,203067,5789,1433,214742,9808,107,222,1648,39669,1648,39830,0,0,755
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98032,13561,26368,8670,575116,12210,475886,4766,5741,2197,4163,1823,18817,1317,11257,13,-16,243,738,46,469,4105,290544,69743,3366,251128,9123,4051,286678,16812,81,231,11247,61025,10358,59143,1967,3340,6817
"Under $10,000        ",1844,2640,651,6306,1521,8385,347,203,149,168,133,-108,220,40,0,0,*,*,11,21,45,272,533,20,121,19,59,-515,164,0,0,351,46,514,176,671,763,879
"$10,000 under $25,000",3346,5987,2148,59122,2893,49745,699,726,286,365,236,178,272,1927,13,-16,26,49,*,*,329,5980,4585,232,4268,407,320,5828,898,0,0,2613,2324,2186,2317,861,2125,1843
"$25,000 under $50,000",4483,8691,3110,161056,4197,145011,1317,983,507,709,416,424,325,2494,*,*,95,253,*,*,1178,45514,16425,890,34549,1477,1141,44115,3574,0,0,4399,12643,3823,11612,435,452,2209
"$50,000 under $75,000",2038,4390,1372,124598,1908,109269,1015,786,474,678,374,841,235,1711,*,*,46,135,12,84,1163,72316,18611,975,60976,2045,1145,71167,4389,11,13,2034,13007,1991,12222,0,0,972
"$75,000 under $100,000",971,2430,764,83700,889,70567,665,736,338,463,270,1231,127,1404,0,0,39,130,*,*,693,59834,12545,606,52461,1541,690,59575,3246,*,*,971,9735,966,9342,0,0,450
"$100,000 or more     ",879,2230,625,140334,802,92909,723,2307,443,1780,394,16251,138,3681,*,*,37,171,23,364,697,106628,17044,643,98753,3634,696,106508,4541,70,218,879,23270,878,23474,0,0,464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98033,16284,30078,7333,1901144,13395,1138264,10377,50698,7755,62025,6900,324584,2899,73333,28,-50,539,2131,410,7169,8467,1509904,257428,7478,1398208,39908,8470,1491465,70299,870,3634,14103,344158,14062,348940,680,875,7932
"Under $10,000        ",2196,2607,246,-7769,1493,11367,835,1997,662,1514,635,1936,308,-2802,*,*,18,64,14,45,143,818,2631,86,501,99,240,-11067,1326,*,*,562,160,743,440,322,271,918
"$10,000 under $25,000",2143,2886,472,36988,1569,25945,874,1491,558,1368,447,888,338,2888,*,*,45,122,*,*,451,7996,7632,312,5591,505,431,7689,1693,0,0,1751,1628,1665,1999,250,510,958
"$25,000 under $50,000",3168,4689,900,117233,2657,93381,1524,2860,939,2881,794,1876,447,5724,17,-69,130,450,25,196,1077,41759,19037,873,33957,1582,1047,40585,4456,*,*,3043,9692,2945,10106,108,94,1372
"$50,000 under $75,000",2218,3996,955,137681,1882,106398,1466,2528,996,3323,838,2227,400,7321,*,*,100,383,57,515,1317,82442,25283,1147,71874,2610,1303,81583,6341,20,31,2201,14711,2170,15224,0,0,1059
"$75,000 under $100,000",1854,3956,1077,160897,1629,125814,1430,2687,1065,3186,892,4071,360,7039,11,19,79,290,41,335,1353,118017,30250,1216,106077,3272,1341,116966,7643,26,44,1852,19045,1846,19374,0,0,794
"$100,000 or more     ",4705,11944,3683,1456114,4165,775359,4248,39135,3535,49753,3294,313586,1046,53163,*,*,167,822,273,6078,4126,1258872,172595,3844,1180208,31840,4108,1255709,48840,824,3559,4694,298922,4693,301797,0,0,2831
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98034,19447,36390,9718,1299834,17038,983912,9884,20644,6333,23201,5327,96717,3029,48341,29,11,578,2041,273,3780,8519,909796,184506,7258,822465,26180,8460,898968,48694,395,1776,16819,185539,16561,186793,1255,1813,8272
"Under $10,000        ",2582,3137,355,6503,1916,11023,749,844,485,582,438,-4,383,303,*,*,16,50,*,*,141,780,2051,98,541,98,209,-2717,871,0,0,666,108,901,401,502,392,965
"$10,000 under $25,000",3343,4871,1091,58824,2758,46715,1004,1289,545,1078,449,162,445,4058,*,*,52,123,20,99,518,9365,7642,369,6729,551,491,8892,1579,0,0,2784,2619,2600,2986,524,1196,1394
"$25,000 under $50,000",5068,8115,2024,185135,4569,159111,1944,2200,1005,2072,814,1394,591,5795,17,18,160,492,22,124,1719,66103,25477,1319,50443,2201,1678,64608,5933,0,0,4938,15367,4683,15206,229,225,2099
"$50,000 under $75,000",3219,6513,1832,198657,2943,168209,1911,2420,1114,2286,899,1863,504,5922,*,*,116,383,31,196,1888,117845,33549,1621,101231,3524,1861,116181,8090,11,18,3205,20794,3157,20398,0,0,1380
"$75,000 under $100,000",2023,4999,1563,175263,1889,150236,1463,2012,1001,2191,803,2506,372,5784,12,-7,94,348,32,256,1507,130866,30438,1328,115531,3484,1493,129683,7792,15,14,2018,19943,2010,19510,0,0,799
"$100,000 or more     ",3212,8755,2853,675452,2963,448618,2813,11879,2183,14992,1924,90796,734,26479,*,*,140,645,168,3105,2746,584837,85349,2523,547990,16322,2728,582321,24429,369,1744,3208,126708,3210,128292,0,0,1635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98035,492,884,258,39062,408,19200,207,675,117,587,77,3800,68,166,0,0,*,*,0,0,157,29347,4096,129,14931,422,153,23758,878,*,*,411,4556,398,4469,48,66,297
