adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$10,000 under $25,000",640,955,208,10990,520,8500,194,251,111,212,84,46,89,752,15,11,12,29,--,--,121,2211,1865,88,1596,142,121,2211,447,--,--,517,467,494,552,119,219,251
"$25,000 under $50,000",826,1566,458,30514,723,24764,356,456,205,533,175,410,152,1550,*,*,29,97,*,*,361,14046,6024,271,10631,479,355,13825,1424,--,--,784,2207,732,2280,56,40,376
"$50,000 under $75,000",749,1885,661,47024,702,40646,441,437,256,455,194,281,176,1615,*,*,31,79,20,96,544,34534,9741,468,29749,872,537,34081,2502,--,--,749,4354,726,4133,--,--,335
"$75,000 under $100,000",636,1873,688,55463,616,49635,434,281,296,499,202,270,123,956,13,-185,28,88,*,*,556,48582,11807,488,42744,1229,556,48582,3091,*,*,634,5621,631,5297,--,--,267
"$100,000 or more     ",1079,3337,1257,190550,1050,158573,847,1026,680,4299,595,9173,211,4195,*,*,44,154,22,299,1004,171954,26479,912,158373,3452,1000,171299,7508,66,190,1079,33863,1079,33922,--,--,508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98020,9817,18351,4158,805851,6760,414778,6429,25325,4912,42427,4232,89636,1675,47880,16,-145,385,1320,233,4052,4824,613402,115000,4372,580777,22567,4854,605178,32831,305,1224,8173,128113,8114,131482,428,488,5412
"Under $10,000        ",1569,1828,114,-2346,869,5360,684,985,562,1342,508,-221,210,452,--,--,10,26,*,*,152,905,2650,104,668,127,204,-6418,811,--,--,378,89,491,269,189,127,751
"$10,000 under $25,000",1647,2237,270,28358,933,14853,897,1735,649,1805,525,323,201,1719,--,--,42,119,*,*,412,7264,6417,341,6099,583,403,7144,1426,--,--,1299,1110,1226,1282,163,310,863
"$25,000 under $50,000",2057,3313,656,75855,1491,49528,1145,2468,807,2736,653,851,301,3832,*,*,94,269,32,168,815,31174,13478,708,27229,1463,810,31003,3545,--,--,1978,5870,1910,6121,76,51,1014
"$50,000 under $75,000",1461,2890,683,89889,1079,56140,1034,2721,726,3476,613,1543,234,3972,*,*,66,211,28,224,889,55161,16222,795,49327,2159,885,54924,4342,*,*,1443,8982,1419,9039,--,--,815
"$75,000 under $100,000",1037,2517,689,89885,788,56727,824,2451,608,3372,517,2504,232,4509,*,*,47,158,29,373,787,68581,17183,730,63624,2395,784,68331,4676,*,*,1032,9686,1029,9835,--,--,586
"$100,000 or more     ",2046,5566,1746,524210,1600,232170,1845,14965,1560,29696,1416,84636,497,33396,16,-145,126,537,144,3287,1769,450317,59050,1694,433830,15840,1768,450194,18031,305,1224,2043,102376,2039,104936,--,--,1383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98021,10385,21894,6605,620843,9007,503710,5467,7177,3496,9184,2810,20558,1501,19877,14,-20,326,952,121,1145,4890,435061,95593,4305,396740,11985,4896,432302,25511,114,428,8789,78388,8672,77656,533,736,4341
"Under $10,000        ",1665,1946,162,5364,1226,6428,563,425,361,363,302,-198,155,-281,--,--,11,25,--,--,100,552,1390,66,371,66,131,-739,451,--,--,462,84,560,176,221,189,557
"$10,000 under $25,000",1724,2532,469,29660,1311,21393,639,838,373,692,264,-151,204,1272,*,*,36,84,*,*,314,5595,5329,232,4112,382,311,5558,1063,--,--,1394,1291,1363,1446,213,473,703
"$25,000 under $50,000",2238,3950,1015,82951,1991,68775,883,927,479,965,407,133,282,2885,*,*,84,254,22,94,795,31127,12299,657,25752,1161,789,30882,3020,*,*,2180,6591,2052,6479,99,74,934
"$50,000 under $75,000",1761,4294,1446,109863,1627,92767,1038,1251,646,1095,477,575,294,3265,--,--,80,185,20,89,1163,73048,19873,1009,63573,2161,1156,72648,5124,*,*,1759,10593,1707,9968,--,--,797
"$75,000 under $100,000",1339,3912,1443,115846,1275,101990,950,909,609,1136,470,964,245,3581,14,-20,55,180,25,187,1064,92156,20640,975,84550,2364,1055,91370,5393,*,*,1337,12358,1335,11693,--,--,572
"$100,000 or more     ",1658,5260,2070,277159,1577,212357,1394,2827,1028,4933,890,19235,321,9155,*,*,60,224,54,775,1454,232583,36062,1366,218382,5851,1454,232583,10460,114,428,1657,47471,1655,47894,--,--,778
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98022,9533,20419,6358,500991,7895,373618,4749,9435,2827,7761,2251,20738,1382,20727,278,-3844,205,678,82,1000,4162,341972,83025,3522,304525,9646,4174,339199,22023,107,314,7863,56946,7591,56964,830,1271,5394
"Under $10,000        ",1554,1953,275,4108,1135,5764,455,632,249,346,215,-38,158,182,31,-595,--,--,--,--,85,499,1274,60,355,80,120,-1179,383,--,--,379,63,472,169,295,297,660
"$10,000 under $25,000",1855,2997,744,31508,1382,22380,651,1030,366,653,277,-56,188,1446,19,-204,20,46,*,*,291,5117,4226,211,3742,302,284,5010,939,--,--,1444,1209,1342,1373,371,846,1024
"$25,000 under $50,000",2273,4500,1379,83137,1916,64063,971,1465,515,1190,419,959,317,2930,54,-647,69,181,13,63,849,32633,12995,656,25272,1162,840,32327,3194,--,--,2199,6074,2007,6007,164,128,1283
"$50,000 under $75,000",1643,4351,1553,102105,1472,81480,958,1491,578,1131,407,1404,303,3250,61,-780,48,163,11,56,1079,67572,18614,894,56109,1759,1076,67385,4860,*,*,1634,9332,1572,8830,--,--,1008
"$75,000 under $100,000",1084,3233,1172,93911,990,77082,777,1142,476,875,363,1598,191,2567,32,-355,25,93,15,108,860,74815,19600,771,67117,2010,857,74546,4643,*,*,1083,9679,1076,9262,--,--,655
"$100,000 or more     ",1124,3385,1235,186222,1000,122849,937,3675,643,3566,570,16871,225,10352,81,-1263,43,195,43,773,998,161336,26316,930,151930,4333,997,161110,8004,107,314,1124,30589,1122,31323,--,--,764
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98023,19941,43588,15050,1084064,17603,843160,8430,11198,4786,14690,3992,59045,2692,34009,15,-71,460,1407,149,1924,8302,741732,153001,7200,681219,20879,8308,737047,40978,210,642,16370,135034,15548,133237,2577,4484,9824
"Under $10,000        ",3298,4503,936,10458,2609,14346,745,609,419,467,350,-46,362,74,*,*,*,*,*,*,135,810,1930,86,541,94,195,-1486,625,--,--,836,147,1081,401,853,1047,1410
"$10,000 under $25,000",3970,7205,2458,68711,3363,55694,932,844,431,708,380,-59,485,4078,--,--,44,106,*,*,547,9983,7999,386,7079,699,535,9753,1783,--,--,3013,2631,2703,2903,1162,2937,2106
"$25,000 under $50,000",5067,10811,4040,184294,4580,156151,1705,1785,791,1581,668,741,621,5985,*,*,132,329,25,112,1848,71459,27509,1479,57472,2794,1827,70734,6551,--,--,4925,13359,4270,12435,562,500,2575
"$50,000 under $75,000",3284,8423,3050,202791,3038,171902,1773,1626,956,1676,761,1199,473,3784,*,*,113,316,14,101,2197,136816,36560,1915,119452,4094,2181,135824,9207,*,*,3276,19071,3177,17478,--,--,1583
"$75,000 under $100,000",2046,5926,2156,176205,1904,147913,1380,1347,843,1769,677,1764,329,4291,--,--,70,246,24,175,1622,140075,30581,1480,128019,4021,1618,139744,8094,26,31,2045,18800,2042,17794,--,--,941
"$100,000 or more     ",2276,6720,2410,441605,2109,297154,1895,4987,1346,8489,1156,55446,422,15797,15,-71,101,410,86,1536,1953,382589,48422,1854,368656,9177,1952,382478,14718,184,611,2275,81026,2275,82226,--,--,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98024,2373,5058,1511,200419,1981,143252,1391,4035,913,5576,795,16916,406,8927,25,242,86,286,44,536,1226,163926,32748,1062,149986,4807,1225,162067,10541,93,594,1990,31999,1970,32640,142,204,1245
"Under $10,000        ",395,474,45,72,272,1597,139,106,86,132,70,-92,39,-50,*,*,*,*,*,*,35,225,549,20,148,18,43,-1206,182,--,--,100,17,131,63,63,58,166
"$10,000 under $25,000",361,536,110,6061,273,4157,126,131,66,194,44,-37,47,413,*,*,13,27,--,--,62,1115,924,48,855,61,58,1047,216,--,--,299,250,280,293,58,130,165
"$25,000 under $50,000",479,848,222,17778,409,13873,228,377,119,280,109,211,71,953,14,14,24,55,*,*,180,6962,3117,140,5485,311,178,6894,855,--,--,456,1401,435,1446,21,16,246
"$50,000 under $75,000",327,791,254,20218,288,15352,216,313,124,326,104,343,73,1225,*,*,14,55,*,*,226,14074,4076,188,11773,394,225,14024,1269,--,--,326,1853,319,1861,--,--,184
"$75,000 under $100,000",233,650,226,20211,216,16368,187,306,118,395,98,326,54,792,*,*,11,42,*,*,184,16084,4344,166,14457,454,183,15998,1248,*,*,232,2042,231,1985,--,--,135
"$100,000 or more     ",578,1759,654,136079,523,91905,495,2802,400,4249,370,16165,122,5594,11,228,24,107,44,536,539,125466,19738,500,117268,3569,538,125310,6771,93,594,577,26436,574,26992,--,--,349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98025,335,661,162,19420,277,15093,189,190,132,533,97,790,52,94,*,*,*,*,--,--,165,14294,3687,140,12498,387,165,14158,1076,*,*,283,2271,278,2283,16,24,169
"Under $10,000        ",56,66,4,202,39,214,16,3,12,3,*,*,*,*,--,--,--,--,--,--,*,*,*,12,162,12,*,*,*,--,--,18,2,20,3,16,24,25
"$10,000 under $25,000",63,92,15,1129,46,826,29,30,14,7,15,-2,20,-12,--,--,--,--,--,--,20,299,413,*,*,*,21,273,118,--,--,52,48,50,53,*,*,28
"$25,000 under $50,000",65,123,32,2474,54,1947,31,23,24,62,14,-2,*,*,--,--,--,--,--,--,27,1032,457,22,828,39,27,1032,116,--,--,62,178,60,170,--,--,29
"$50,000 under $75,000",60,146,49,3646,55,3068,35,41,25,38,22,-6,17,83,--,--,*,*,--,--,41,2466,738,38,2275,59,41,2466,228,--,--,60,341,57,324,--,--,35
"$75,000 under $100,000",33,91,32,2833,28,1961,27,4,20,9,14,54,*,*,--,--,--,--,--,--,25,2168,540,23,1997,55,25,2168,158,--,--,33,295,33,304,--,--,20
"$100,000 or more     ",58,143,30,9136,55,7077,51,89,37,414,32,746,15,23,*,*,*,*,--,--,52,8329,1539,45,7236,222,51,8219,456,*,*,58,1407,58,1429,--,--,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98026,16685,33344,9475,951500,13877,682313,8938,15555,5667,25057,4599,46662,2572,48638,22,-82,596,1907,246,3387,7493,647893,145038,6529,591944,18138,7514,642176,39021,213,971,13983,120822,13634,122524,1236,1766,7836
"Under $10,000        ",2713,3340,390,5590,1936,11124,879,749,564,764,494,-152,271,1266,10,-51,19,49,*,*,167,941,2534,101,580,101,227,-2964,803,--,--,708,124,921,354,493,464,1022
"$10,000 under $25,000",2987,4529,998,51808,2261,37101,1096,1316,622,1257,478,83,376,3152,*,*,52,133,*,*,571,10315,8608,430,7809,675,560,10124,1784,--,--,2397,2158,2220,2505,504,1109,1424
"$25,000 under $50,000",4193,7386,1947,153903,3603,122233,1902,2307,1071,2573,853,974,562,6527,*,*,176,513,38,167,1588,61219,23445,1308,50474,2168,1574,60735,5702,*,*,4098,12064,3784,12049,239,193,1917
"$50,000 under $75,000",2750,6478,2059,169698,2430,133001,1803,2074,1053,2696,802,1743,524,7967,*,*,143,438,36,217,1841,114694,31425,1591,99340,3293,1831,114042,8079,*,*,2741,16164,2684,15878,--,--,1327
"$75,000 under $100,000",1798,5028,1746,155505,1661,127115,1337,1747,874,2363,683,1922,329,5280,12,-31,97,343,33,332,1413,122462,27243,1278,110837,3204,1411,122296,7180,13,10,1797,16658,1786,16150,--,--,840
"$100,000 or more     ",2244,6583,2335,414996,1986,251739,1921,7362,1483,15404,1289,42092,510,24446,*,*,109,431,139,2671,1913,338262,51783,1821,322904,8697,1911,337943,15473,200,961,2242,73654,2239,75588,--,--,1306
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98027,12201,24660,6845,1054609,10265,737503,7369,19122,5399,41042,4616,69131,2102,41364,35,-243,454,1370,291,4422,6303,823157,150124,5626,771554,23419,6327,814591,45044,387,1856,10436,172652,10374,175536,567,674,5516
"Under $10,000        ",1867,2201,198,-1179,1274,7768,682,801,544,583,467,-266,198,-133,*,*,14,24,13,62,99,525,1767,66,353,70,157,-6022,703,--,--,519,95,642,248,267,176,723
"$10,000 under $25,000",1711,2434,441,29767,1323,22059,675,898,392,882,328,91,239,1997,*,*,39,91,*,*,343,6226,5583,239,4404,368,335,6090,1303,--,--,1389,1338,1303,1590,213,432,725
"$25,000 under $50,000",2369,3806,840,87751,2016,69696,1069,1458,654,1665,521,375,372,4634,20,-103,113,289,23,166,869,33540,13991,710,27432,1219,856,33050,3721,--,--,2292,7221,2216,7492,87,66,974
"$50,000 under $75,000",1778,3619,946,110045,1563,85804,1175,1659,777,2265,632,874,320,4544,*,*,89,279,32,227,1107,69416,19954,968,60804,2106,1104,69216,5510,*,*,1761,11253,1746,11337,--,--,840
"$75,000 under $100,000",1381,3453,1079,120218,1227,94353,1045,1896,801,2707,632,1559,263,4751,*,*,64,215,43,463,1079,94364,22317,979,85778,2574,1075,94035,6644,23,28,1381,13508,1374,13510,--,--,616
"$100,000 or more     ",3095,9147,3341,708007,2862,457823,2723,12410,2231,32940,2036,66498,710,25571,15,-140,135,472,180,3504,2806,619086,86512,2664,592783,17082,2800,618222,27163,364,1828,3094,139237,3093,141359,--,--,1638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98028,9176,18457,5242,601286,7678,426897,5095,9579,3444,15470,2811,37994,1498,25174,10,-1,338,1081,158,2126,4312,445376,88854,3751,408061,11936,4316,442314,27084,192,593,7686,84247,7588,85273,634,833,3903
"Under $10,000        ",1546,1842,178,3998,1088,5796,508,374,389,373,304,-36,186,-179,10,-1,*,*,--,--,82,425,1192,42,221,35,121,-858,500,--,--,434,70,551,177,269,199,542
"$10,000 under $25,000",1526,2293,497,26273,1166,19170,555,715,325,771,248,112,203,1638,*,*,41,114,*,*,263,4711,4188,189,3419,252,254,4565,1032,--,--,1220,1111,1156,1278,242,536,626
"$25,000 under $50,000",2029,3496,891,74283,1746,58991,918,1088,542,1363,430,569,263,3241,*,*,66,193,17,69,726,27955,11477,576,22181,972,716,27564,3216,--,--,1967,5900,1844,5925,123,98,823
"$50,000 under $75,000",1358,3056,949,84249,1210,68202,855,1016,523,1475,419,713,243,3350,*,*,72,207,18,148,908,56995,15996,777,48830,1692,902,56646,4584,*,*,1351,8258,1327,8069,--,--,597
"$75,000 under $100,000",1069,2889,975,92673,975,75236,840,1295,553,1859,443,1439,225,3517,*,*,58,193,30,263,861,74856,16968,772,67246,1979,853,74192,5134,11,5,1068,10022,1065,9761,--,--,443
"$100,000 or more     ",1648,4881,1752,319810,1493,199502,1419,5091,1112,9629,967,35197,378,13607,*,*,101,374,93,1646,1472,280434,39033,1395,266164,7006,1470,280205,12618,181,588,1646,58886,1645,60063,--,--,872
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98029,8707,18519,5567,697990,7132,550653,5448,10623,4182,21212,3684,28530,1199,21529,*,*,260,817,138,1957,4730,515496,104886,4213,475123,13476,4706,512638,31041,202,593,7568,103024,7473,103155,298,449,3543
"Under $10,000        ",1183,1395,124,3953,796,4083,436,401,373,493,311,-231,91,93,--,--,--,--,*,*,63,314,893,45,247,43,79,-12,234,--,--,336,56,393,104,120,98,392
"$10,000 under $25,000",1000,1456,254,17178,645,10419,480,799,349,1053,288,257,124,1043,*,*,14,31,*,*,247,4320,3917,198,3428,330,241,4204,838,--,--,771,686,728,769,128,309,454
"$25,000 under $50,000",1614,2668,637,60939,1285,45153,783,1373,517,1883,460,742,198,2036,--,--,51,155,18,123,659,25781,10100,548,21577,1154,646,25300,2380,*,*,1561,4930,1481,4800,50,42,660
"$50,000 under $75,000",1351,2841,830,84319,1148,65805,872,1539,605,2352,525,1047,212,2881,*,*,43,152,15,142,831,52173,14545,720,45199,1560,822,51570,3836,*,*,1343,8701,1322,8445,--,--,583
"$75,000 under $100,000",1217,3140,1065,106039,1085,88722,896,1092,693,1999,595,1573,184,3506,*,*,58,180,28,306,909,79493,18320,799,69979,1992,903,78967,4985,14,21,1216,12104,1210,11738,--,--,441
"$100,000 or more     ",2342,7019,2657,425562,2173,336471,1981,5419,1645,13432,1505,25142,390,11970,*,*,94,299,77,1386,2021,353415,57111,1903,334693,8397,2015,352609,18768,188,572,2341,76547,2339,77299,--,--,1013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98030,12405,26755,9918,497083,11271,424593,4088,3977,2078,3926,1627,7031,1509,14784,*,*,168,456,43,472,4033,279358,68571,3381,246012,7794,4015,277678,17250,38,104,9817,49238,9181,47066,2349,4282,6409
"Under $10,000        ",2175,3262,884,10041,1807,9718,356,177,149,138,128,-62,273,416,--,--,*,*,--,--,76,437,1069,48,272,60,90,139,241,--,--,467,79,672,263,782,1016,1028
"$10,000 under $25,000",3186,6142,2350,55225,2792,46274,573,574,238,341,198,12,393,3431,--,--,31,62,*,*,318,5848,4538,207,3832,284,313,5780,977,--,--,2396,2076,2095,2319,1102,2855,1802
"$25,000 under $50,000",3523,7576,3015,126133,3332,113967,973,694,390,587,301,82,358,2799,*,*,56,128,*,*,1048,40561,15178,817,31906,1382,1030,39901,3481,--,--,3439,9328,2970,8338,465,411,1855
"$50,000 under $75,000",1777,4591,1749,109025,1677,95385,936,756,501,810,366,475,244,2359,--,--,34,102,17,107,1158,71910,18553,1001,62198,1897,1154,71659,4716,*,*,1772,10592,1704,9636,--,--,927
"$75,000 under $100,000",992,2918,1091,85381,953,75162,658,525,384,492,295,595,123,1368,--,--,22,72,*,*,782,67576,14398,703,60908,1578,777,67173,3814,*,*,992,9241,988,8578,--,--,446
"$100,000 or more     ",752,2266,829,111278,710,84087,592,1251,416,1558,339,5929,118,4411,*,*,25,92,26,365,651,93026,14835,605,86896,2593,651,93026,4021,38,104,751,17922,752,17932,--,--,351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98031,15940,34844,12089,748767,14071,623700,7115,7040,3851,6247,2967,12183,2130,21977,12,-75,331,1019,79,811,6285,473520,107994,5413,427882,13868,6272,470632,29298,76,170,13046,80764,12471,78502,2277,3935,7630
"Under $10,000        ",2600,3609,762,10380,2006,10678,621,287,282,230,252,-113,312,297,--,--,*,*,*,*,86,499,1223,52,328,52,109,-622,312,--,--,620,114,838,328,749,912,1091
"$10,000 under $25,000",3437,6296,2119,60287,2851,47385,890,798,372,521,260,-177,443,4113,*,*,41,104,11,32,424,7878,5621,292,5533,464,416,7705,1271,--,--,2631,2360,2389,2727,1023,2576,1816
"$25,000 under $50,000",4166,8870,3276,151209,3794,128377,1560,1375,670,1011,543,474,520,5038,12,-75,100,302,*,*,1472,56388,20965,1163,45194,1937,1460,55953,5409,--,--,4061,11073,3587,10246,505,447,2087
"$50,000 under $75,000",2547,6550,2391,157959,2359,134135,1535,1289,875,1398,644,689,376,3337,*,*,97,288,10,40,1641,102897,26386,1418,89130,3014,1629,102111,6978,*,*,2544,15188,2480,13919,--,--,1234
"$75,000 under $100,000",1679,4961,1866,144850,1620,127825,1209,937,738,1005,542,1101,244,2664,--,--,43,144,14,124,1364,117869,24934,1258,108748,3243,1361,117607,6896,*,*,1679,15572,1667,14555,--,--,715
"$100,000 or more     ",1511,4558,1675,224082,1441,175300,1300,2354,914,2082,726,10209,235,6528,*,*,50,181,44,615,1298,187989,28865,1230,178949,5158,1297,187878,8432,76,170,1511,36457,1510,36727,--,--,687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98032,13332,25809,8360,538826,11912,449218,4457,4536,2368,4892,1921,9598,1318,11959,17,-65,237,617,46,552,4083,282178,65533,3390,246682,8562,4059,278915,16431,59,146,10983,56815,10168,55385,1998,3228,6708
"Under $10,000        ",1995,2831,685,6669,1584,8955,354,381,185,229,172,-101,215,209,*,*,*,*,--,--,59,343,806,33,202,45,83,-597,236,--,--,408,65,543,181,683,766,919
"$10,000 under $25,000",3329,5996,2127,58436,2859,47936,675,687,305,461,243,-97,276,2194,*,*,32,55,*,*,339,6296,4563,234,4348,425,333,6193,993,--,--,2629,2297,2218,2379,894,2120,1916
"$25,000 under $50,000",4348,8298,2876,156547,4079,140639,1195,669,518,653,432,94,355,2905,*,*,80,188,13,44,1193,46016,15803,909,35249,1373,1170,45082,3707,--,--,4288,12718,3771,11763,421,342,2100
"$50,000 under $75,000",2004,4408,1380,122294,1864,105496,1011,848,575,904,439,440,224,1693,17,-65,57,157,12,112,1186,73084,17984,1022,63181,2011,1171,72165,4393,12,14,2002,12860,1981,12123,--,--,949
"$75,000 under $100,000",915,2361,753,78547,845,66040,620,475,374,663,279,718,130,1741,*,*,33,94,*,*,685,59005,12107,615,53024,1679,682,58758,3025,*,*,915,9075,914,8802,--,--,437
"$100,000 or more     ",741,1915,539,116333,681,80152,602,1476,411,1982,356,8544,118,3217,*,*,35,123,21,396,621,97434,14270,577,90678,3029,620,97314,4077,47,132,741,19800,741,20137,--,--,387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98033,16076,29697,7230,1656529,13109,1097781,9854,40477,7660,85476,6704,186117,2760,63737,26,-134,558,1829,386,6497,8144,1331051,219704,7275,1247724,40288,8192,1301249,63625,657,3239,13801,306591,13768,310217,708,854,7732
"Under $10,000        ",2296,2735,243,-32281,1446,11140,833,1298,714,1773,657,1047,337,-3893,*,*,20,59,*,*,190,1092,3068,131,768,137,291,-24721,1414,10,8,580,109,772,416,345,245,956
"$10,000 under $25,000",2271,3136,537,39138,1657,26885,890,1341,593,1707,476,316,344,3191,--,--,60,145,14,69,464,8301,7980,348,6339,569,457,8165,1800,--,--,1847,1726,1775,2091,269,542,978
"$25,000 under $50,000",3146,4808,975,116503,2606,90774,1523,2589,975,3491,795,1220,452,6672,16,21,145,425,35,248,1111,43145,18714,925,36139,1702,1093,42436,4814,--,--,3045,9714,2928,10271,94,67,1350
"$50,000 under $75,000",2262,4261,1083,139987,1950,108714,1460,2499,1048,3964,877,2031,396,6151,*,*,89,301,39,296,1330,83222,24867,1172,73562,2582,1320,82592,6500,*,*,2239,15043,2212,15306,--,--,1057
"$75,000 under $100,000",1805,3966,1128,156670,1603,125362,1345,2100,1055,4838,850,3133,319,6320,*,*,74,226,53,540,1314,114587,28389,1201,104627,3164,1308,114081,7869,20,31,1799,18837,1791,18945,--,--,843
"$100,000 or more     ",4296,10791,3264,1236512,3847,734906,3803,30650,3275,69703,3049,178370,912,45296,10,-155,170,673,245,5344,3735,1080704,136686,3498,1026289,32134,3723,1078696,41228,627,3200,4291,261162,4290,263188,--,--,2548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98034,19096,36080,9812,1229867,16695,950991,9336,15715,6283,37361,5255,76672,2863,41864,20,2,581,1822,245,3399,8418,850202,166549,7277,778641,22187,8439,837401,45923,292,1340,16361,178482,16035,179681,1384,1863,8055
"Under $10,000        ",2739,3308,376,4483,1984,11559,776,936,534,876,458,-225,368,-569,--,--,19,49,*,*,177,992,2400,119,662,110,253,-3529,948,--,--,711,120,908,350,552,435,974
"$10,000 under $25,000",3392,4969,1126,59376,2799,47006,986,1244,546,1183,436,113,449,3879,*,*,54,140,13,57,570,10361,8019,426,7829,660,558,10155,1791,--,--,2835,2711,2640,3067,565,1239,1409
"$25,000 under $50,000",4991,8319,2172,182319,4523,156089,1882,2013,1050,2249,832,652,560,6113,*,*,159,464,35,210,1778,68104,25877,1418,54462,2285,1766,67635,6218,--,--,4863,15131,4587,14923,267,189,2048
"$50,000 under $75,000",3107,6478,1869,191722,2830,160137,1856,1820,1146,2803,939,1690,517,6083,20,2,108,308,37,206,1928,119897,32362,1651,102915,3559,1915,119135,8244,*,*,3090,20202,3051,19924,--,--,1359
